Designator,Mid X,Mid Y,Rotation,Layer
0X20,70,-46.5,0,top
0X21,140,-47,0,top
0X22,118,-47,0,top
0X23,93.5,-46.5,0,top
0X24,70,-62.65,0,top
0X25,139.945,-62.65,0,top
0X26,118.055,-62.65,0,top
0X27,93.015,-62.65,0,top
J1,105,-20,90,top
J10,68.5,-29.5,0,top
J11,93,-29.5,0,top
J12,117.5,-29.5,0,top
J13,140,-29.5,0,top
J14,68.5,-36,0,top
J15,93,-36,0,top
J16,117.5,-36,0,top
J17,140,-36,0,top
J18,105,-27.5,90,top
J2,68.5,-18,0,top
J3,117.5,-18,0,top
J4,93,-18,0,top
J5,140,-18,0,top
J6,68.5,-23.5,0,top
J7,93,-23,0,top
J8,117.5,-23,0,top
J9,140,-23,0,top
