Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3, C4, C5, C6, C7, C8",0805,7,22uF,C326578
J1,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
L1,L_6.3x6.3_H3,1,1uH,
"LED1, LED2, LED3, LED4",LED0805-R-RD,4,17-21SUYC/TR8,C2296
"R1, R2",0603,2,5.11k,
R3,0603,1,0.5,
R4,0603,1,2,
R5,0603,1,10k,
SW1,SW-SMD_GT-TC108A-H034-L1,1,GT-TC108A-H034-L1S,C22396279
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,IP5306-LC,C605440
"USB1, USB2",USB-A-TH_C46407,2,USB-AF-90-14.4X13.6-H7.0-DIP,C46407
USB3,TYPE-C-SMD_TYPE-C-6P_5,1,TYPE-C 6P(073),C668623
