Designator,Mid X,Mid Y,Rotation,Layer
C2,112.05,-42.0,180.0,top
C3,111.0,-35.05,90.0,top
C4,127.0,-35.05,90.0,top
C5,128.0,-54.05,90.0,top
C6,120.0,-37.05,90.0,top
C7,119.95,-32.0,0.0,top
C8,124.0,-71.0,90.0,top
J1,108.0,-34.73,180.0,top
L1,113.0,-47.0,180.0,top
LED1,109.38,-26.95,90.0,top
LED2,112.69,-26.95,90.0,top
LED3,116.0,-26.95,90.0,top
LED4,119.31,-26.95,90.0,top
R1,127.175,-68.0,180.0,top
R2,127.175,-69.49,180.0,top
R3,115.0,-40.9125,270.0,top
R4,127.0875,-73.0,0.0,top
R5,117.825,-40.0,0.0,top
SW1,124.77,-24.725,180.0,top
U1,115.0,-34.91,180.0,top
USB1,133.92,-36.0,90.0,top
USB2,133.92,-54.0,90.0,top
USB3,133.97,-69.32,90.0,top
