Comment,Designator,Footprint,LCSC
D_Small,"DL1,DL10,DL11,DL12,DL13,DL14,DL15,DL16,DL17,DL18,DL19,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DR1,DR10,DR11,DR12,DR13,DR14,DR15,DR16,DR17,DR18,DR19,DR2,DR3,DR4,DR5,DR6,DR7,DR8,DR9",Diode_SOD123,C81598
SW_Push_45deg,SWL11,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL17,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL15,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL2,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL8,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR15,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR12,Kailh_socket_PG1350_optional,
MJ-4PP-9,J2,MJ-4PP-9_1side,
xiao-ble,U2,xiao-ble-smd-cutout,
SW_Push_45deg,SWL16,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR1,Kailh_socket_PG1350_optional,
-,BATGND1,BatteryPad,
SW_Push_45deg,SWL18,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL3,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR16,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR14,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR18,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR19,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR7,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR5,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL5,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL4,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL7,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR9,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL9,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR6,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL12,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL19,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR8,Kailh_socket_PG1350_optional,
-,BATGND2,BatteryPad,
SW_Push_45deg,SWL1,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR3,Kailh_socket_PG1350_optional,
SW_Push,RSW1,SKHLLCA010,
SW_Push_45deg,SWR2,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR11,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR17,Kailh_socket_PG1350_optional,
MJ-4PP-9,J1,MJ-4PP-9_1side,
SW_Push_45deg,SWR13,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL14,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL10,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL13,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWL6,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR4,Kailh_socket_PG1350_optional,
SW_Push_45deg,SWR10,Kailh_socket_PG1350_optional,
xiao-ble,U1,xiao-ble-smd-cutout,
