Designator,Mid X,Mid Y,Rotation,Layer
C1,116.725,-78.0,180.0,top
C2,113.725,-78.0,180.0,top
C3,115.275,-77.0,0.0,top
C4,122.275,-72.0,0.0,top
C5,119.75,-77.0,180.0,top
C6,117.275,-77.0,0.0,top
D1,125.0,-75.0,90.0,top
D2,111.0,-81.0,0.0,top
J1,101.0,-72.54,180.0,top
LS1,132.0,-72.5,0.0,top
R1,121.0,-80.0,270.0,top
R2,119.0,-80.0,270.0,top
R3,118.0875,-85.0,180.0,top
R4,122.0,-76.0,90.0,top
R5,112.0875,-84.0,180.0,top
R6,123.0,-84.0875,90.0,top
RV1,107.0,-72.675,90.0,top
U1,116.3,-71.95,0.0,top
