Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,CA45-B6R3K107T,
"C2, C4, C8",1210,3,ECHU1C104GX5,
C3,0402,1,CC0402JRX7R9BB102,
C5,0402,1,0402CG140J500NT,
"C6, C7",CP_EIA-3216-12_Kemet-S,2,CA45-A010K106T,
D1,0805,1,XL-2012UWC,
D2,0603,1,XL-1608UBC-04,
"D3, D4",0603,2,XL-1608UGC-04,
J1,PinSocket_1x04_P2.54mm_Vertical,1,Electrodes,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Output,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Power,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Status,
"R1, R4",0603,2,ARG03BTC1002,
"R10, R3",0603,2,0603WAD3302T5E,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Horizontal,1,CF1/6W-7.5KΩ±5%T52,
"R12, R13, R7, R8",1206,4,1206W4F1002T5E,
"R2, R5",0402,2,SCR0402J330K,
"R6, R9",0805,2,ARG05DTC1600,
U1,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,AD8232,
U2,SOT-23-6,1,TS5A3159ADBVR,
