Designator,Mid X,Mid Y,Rotation,Layer
C1,150.8125,-83.0,270.0,top
C2,169.6,-80.3,270.0,top
C3,145.8125,-89.4,270.0,top
C4,160.7125,-86.6,90.0,top
C5,156.6125,-92.0,180.0,top
C6,140.6,-107.2,90.0,top
C7,146.2,-105.8,0.0,top
C8,155.2,-106.5,180.0,top
D1,150.2,-110.6,0.0,top
D2,159.1875,-110.2,0.0,top
D3,150.0125,-118.4,180.0,top
D4,159.825,-118.4,180.0,top
J1,165.775,-92.38,0.0,top
J2,176.141346,-92.385,0.0,top
J3,165.775,-105.4,0.0,top
J4,176.141346,-105.385,0.0,top
R1,165.5,-78.0,270.0,top
R10,142.6,-98.8,0.0,top
R11,150.8,-103.6,90.0,top
R12,170.2,-112.2,90.0,top
R13,172.8,-112.2,270.0,top
R2,153.95,-81.5,180.0,top
R3,159.4125,-81.5,0.0,top
R4,165.5,-81.4,270.0,top
R5,144.6125,-90.4,90.0,top
R6,142.6,-94.0,180.0,top
R7,152.8,-98.0,0.0,top
R8,156.8,-96.6,270.0,top
R9,142.6,-102.2,0.0,top
U1,154.975,-88.5,0.0,top
U2,155.2,-102.6,180.0,top
