"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R14";"R_2512_6332Metric_6W";1;"1mOhm, 6W";;;
2;"R18";"R_Vishay_2818";1;"5mOhm, 10W, 2818";;;
3;"C9,C23,C10,C21,C11,C22,C32,C25,C4,C3";"C_0402_1005Metric";10;"100nF, 16v";;;
4;"D11";"CDDFN103324P";1;"CDDFN10-3324P";;;
5;"R24,R20,R23,R29,R11";"R_0402_1005Metric";5;"10k";;;
6;"R10,R8,R7";"R_0402_1005Metric";3;"4.02k";;;
7;"C20,C12,C7,C14";"C_0805_2012Metric";4;"10uF, 16v";;;
8;"R1";"R_1206_3216Metric";1;"10mOhm, 1W";;;
9;"Q1,Q5,Q4,Q2";"SC-59";4;"PJA3430, or HL 2320A";;;
10;"D1,D3,D2";"D_0402_1005Metric";3;"GSDH3005";;;
11;"R19,R6,R33";"R_0402_1005Metric";3;"5.1k";;;
12;"C2,C24";"C_0603_1608Metric";2;"2.2uf, 16v";;;
13;"R25";"R_0402_1005Metric";1;"80.6 ohm";;;
14;"C5";"C_0402_1005Metric";1;"1nF, 16v";;;
15;"J3,J1,J7,J6";"Keystone_3579";4;"Keystone 3579";;;
16;"R3,R5,R4";"R_0402_1005Metric";3;"100ohm";;;
17;"L2";"L_Bourns_SDR0604";1;"6.8uH HPC HPC5040NF-6R8M";;;
18;"J2";"JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal";1;"JST XH-S Balance Plug";;;
19;"J5,J4,J8,J9";"Keystone_3569_half";4;"Keystone 3569";;;
20;"J11";"PinSocket_1x04_P1.27mm_Vertical";1;"1.27mm 4 pin socket";;;
21;"R2";"R_0805_2012Metric";1;"2ohm";;;
22;"R21,R12,R22,R16,R17,R15";"R_0402_1005Metric";6;"10ohm";;;
23;"D4";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2.6~3.1 Fv Green 5ma";;;
24;"Q3,Q6";"PQFN-8-EP_6x5mm_P1.27mm_Generic";2;"Vishay sir404dp, or SiR500DP";;;
25;"U3";"RUY0028A";1;"BQ24780SRUYR";;;
26;"C6,C17";"C_0603_1608Metric";2;"47nF, 16v";;;
27;"J10";"USB_C_G-Switch_GT-USB-7025-JLCPCBv";1;"G-Switch-GT-USB-7025";;;
28;"R30,R31";"R_0402_1005Metric";2;"866k";;;
29;"U7";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TPS7A2633DRV";;;
30;"R26,R27,R28";"R_0402_1005Metric";3;"120 ohm";;;
31;"C15";"C_0402_1005Metric";1;"1uf, 16v";;;
32;"C28,C27";"C_1206_3216Metric";2;"22uf, 16v CL31A226MOCLNN";;;
33;"C31";"C_0603_1608Metric";1;"10uF, 16v";;;
34;"C40";"C_0603_1608Metric";1;"100nF, 16v";;;
35;"U5";"SOT-583-8";1;"THVD1420DRLR";;;
36;"C13,C19,C18";"C_0402_1005Metric";3;"220nF, 16v";;;
37;"L3";"L_1008_2520Metric";1;"2.2uH, WIP322512A-2R2MLDG";;;
38;"C30,C29";"C_0402_1005Metric";2;"100pF";;;
39;"C33";"C_0402_1005Metric";1;"2.2uF, 16v";;;
40;"U1";"VQFN20_RGR_TEX";1;"BQ76905RGRR";;;
41;"U6";"QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm";1;"CH32X035G8U6";;;
42;"R9";"R_0805_2012Metric";1;"10ohm";;;
43;"U2";"TSOT-23-6";1;"AP63203WU";;;
44;"C26";"C_0603_1608Metric";1;"4.7uF, 16v";;;
