"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2.6~3.1 Fv Green 5ma";;;
2;"J22";"PinHeader_1x04_P1.27mm_Horizontal";1;"1.27mm 4 pin header";;;
3;"C13,C9,C2,C7";"C_0402_1005Metric";4;"1uF";;;
4;"C10,C4,C6,C8,C5,C3";"C_0402_1005Metric";6;"0.1uF";;;
5;"R8,R9,R7,R20,R19,R11,R18,R2";"R_0402_1005Metric";8;"10k";;;
6;"J10,J6,J2,J1,J7,J12,J4,J9";"PinHeader_1x03_P1.27mm_Vertical";8;"1.27mm 3pin socket";;;
7;"C12,C11";"C_0402_1005Metric";2;"12pF";;;
8;"SW2,SW1";"R-667995_MIT";2;"Mitsumi R-667996";;;
9;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"ABM11-40.000MHZ-B1U-T3, 10ppm, 10pF";;;
10;"FB1";"L_0402_1005Metric";1;"120ohm imp @100mhz, 1 amp";;;
11;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm";1;"ESP32-S3";;;
12;"J16,J13";"TE_mezzanine_rec_3-2363961-0";2;"TE 3-2363961-0 receptacle";;;
13;"J21";"PinSocket_1x04_P1.27mm_Vertical";1;"1.27mm 4 pin socket";;;
14;"R6";"R_0402_1005Metric";1;"22 ohm";;;
15;"R1";"R_0402_1005Metric";1;"100k";;;
16;"R10";"R_0402_1005Metric";1;"80.6 ohm";;;
17;"C1,C14";"C_0402_1005Metric";2;"22uF";;;
18;"U2";"DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm";1;"74HC595";;;
19;"R3,R4,R5";"R_0402_1005Metric";3;"33ohm";;;
20;"J14,J17";"TE_mezzanine_conn_3-2363962-0";2;"TE 3-2363962-0 Connector";;;
21;"J11,J8,J5,J3";"fpc_7pin_0.3mm_connector Panasonic";4;"7 pin FPC 0.3mm Panasonic Y3b";;;
22;"U3";"SOT-583-8";1;"THVD1420DRLR";;;
