Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0603"	"25.78mm"	"2.67mm"	"25.78mm"	"2.67mm"	"25.08mm"	"2.67mm"	"T"	"0"	"10uF"
"C2"	"C0603"	"31.89mm"	"-23.38mm"	"31.89mm"	"-23.38mm"	"31.19mm"	"-23.38mm"	"T"	"0"	"10uF"
"C3"	"C0603"	"61.98mm"	"-27.69mm"	"61.98mm"	"-27.69mm"	"61.28mm"	"-27.69mm"	"T"	"0"	"10uF"
"D2"	"SOD-323_L1.8-W1.3-LS2.5-RD"	"48.39mm"	"-1.4mm"	"48.39mm"	"-1.4mm"	"47.21mm"	"-1.4mm"	"T"	"0"	"NSR0320MW2T1G"
"U1"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"59.31mm"	"21.08mm"	"59.31mm"	"21.08mm"	"54.86mm"	"18.21mm"	"T"	"0"	"SL2.1A COPY  C192893"
"U2"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"16.89mm"	"-27.81mm"	"16.89mm"	"-27.81mm"	"12.45mm"	"-30.69mm"	"T"	"0"	"SL2.1A"
"USB1"	"USB-A-TH_USB-AF-DIP-154-HW-S"	"41.4mm"	"35.18mm"	"41.4mm"	"35.18mm"	"44.9mm"	"31.8mm"	"T"	"180"	"USB-A Female"
"USB2"	"USB-C-SMD_28P-P0.50-L11.0-W8.6"	"41.15mm"	"-36.45mm"	"41.15mm"	"-36.45mm"	"36.83mm"	"-36.72mm"	"T"	"270"	"USB-C Male"
"USB3"	"USB-A-TH_U-USBAR04P-M002"	"10.67mm"	"-0.13mm"	"10.67mm"	"-0.13mm"	"11.67mm"	"-3.63mm"	"T"	"270"	"USBA"
"USBC1"	"USB-C-SMD_TYPE-C-3.1-FEMALE-TH-9.3"	"72.77mm"	"-0.38mm"	"72.77mm"	"-0.38mm"	"70.62mm"	"-2.78mm"	"T"	"90"	"TYPE-C-3.1-Female-TH-9.3"
