Designator,Mid X,Mid Y,Rotation,Layer
D1,105.0,-111.0,90.0,top
D10,148.0,-121.0,270.0,top
D11,148.0,-116.0,270.0,top
D12,148.0,-111.0,270.0,top
D2,105.0,-116.0,90.0,top
D3,105.0,-121.0,90.0,top
D4,105.0,-126.0,90.0,top
D5,105.0,-131.0,90.0,top
D6,105.0,-136.0,90.0,top
D7,148.0,-136.0,270.0,top
D8,148.0,-131.0,270.0,top
D9,148.0,-126.0,270.0,top
R1,108.0,-111.0,90.0,top
R10,145.0,-121.0,270.0,top
R11,145.0,-116.0,270.0,top
R12,145.0,-111.0,270.0,top
R13,120.0,-132.0,90.0,top
R14,124.0,-132.0,90.0,top
R15,116.0,-111.0,270.0,top
R2,108.0,-116.0,90.0,top
R3,108.0,-121.0,90.0,top
R4,108.0,-126.0875,90.0,top
R5,108.0,-131.0875,90.0,top
R6,108.0,-136.0,90.0,top
R7,145.0,-136.0,270.0,top
R8,145.0,-131.0,270.0,top
R9,145.0,-126.0,270.0,top
U1,126.435,-113.7,0.0,top
U2,131.0,-131.0,0.0,top
USB1,122.0,-139.0,0.0,top
