Designator,Footprint,Quantity,Value,LCSC Part #
"BAT_N1, BAT_P1",SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,2,Conn_01x01_Pin,
C1,0603,1,1u,C15849
"C10, C11, C12, C13, C2, C3, C4, C5, C6, C7, C8, C9",0805,12,0.1uF,C49678
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,C114586
"G10, G2, G3, G4, G7, G8, G9, P0, P1, P1.5, P10",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,11,Conn_01x01_Pin,
"LED_JUMP1, MAG_POWER1",SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,2,Jumper_2_Bridged,
"R1, R2",0805,2,3.9k,C17614
R3,0805,1,500,C17408
U1,XIAO-ESP32C3-SMD,1,XIAO-ESP32-C3-SMD,
U2,AS5600,1,AS5600,C499458
