Designator,Mid X,Mid Y,Rotation,Layer
C1,123.5,-70.5,270.0,top
C10,140.260604,-98.190779,110.0,top
C11,124.790555,-99.544233,80.0,top
C12,110.716372,-92.981333,50.0,top
C13,101.809221,-80.260604,20.0,top
C2,100.455767,-64.790555,350.0,top
C3,107.018667,-50.716372,320.0,top
C4,119.739396,-41.809221,290.0,top
C5,135.209445,-40.455767,260.0,top
C6,149.283628,-47.018667,230.0,top
C7,158.190779,-59.739396,200.0,top
C8,159.544233,-75.209445,170.0,top
C9,152.981333,-89.283628,140.0,top
D1,160.0,-70.0,90.0,top
D10,130.0,-40.0,180.0,top
D11,145.0,-44.019238,150.0,top
D12,155.980762,-55.0,120.0,top
D2,155.980762,-85.0,60.0,top
D3,145.0,-95.980762,30.0,top
D4,130.0,-100.0,0.0,top
D5,115.0,-95.980762,330.0,top
D6,104.019238,-85.0,300.0,top
D7,100.0,-70.0,270.0,top
D8,104.019238,-55.0,240.0,top
D9,115.0,-44.019238,210.0,top
R1,137.75,-69.0,180.0,top
R2,137.75,-71.0,0.0,top
R3,141.0,-40.0,90.0,top
U1,129.9175,-44.689,0.0,bottom
U2,130.0,-70.0,270.0,top
