Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT**","BS07A1BJ001","BS07A1BJ001",239.776000,-121.285000,0.000000,top
"BT1","BS-07-A1BJ001","K31260DL1",203.073000,-123.150000,90.000000,top
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",212.481000,-81.534000,0.000000,top
"BZ2","Buzzer","Buzzer_12x9.5RM7.6",212.344000,-94.107000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",216.027000,-64.135000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",215.863000,-71.881000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.546500,-68.835000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",208.534000,-69.469000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.984000,-58.165000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",220.091000,-58.166000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",194.601000,-79.501000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",239.739000,-80.011000,0.000000,top
"U1","XIAO-ESP32-C3-SMD","XIAO-ESP32C3-SMD",215.520000,-123.992000,180.000000,top
"S1","K3-1260D-L1","BS07A1BJ001",226.286000,-111.633000,180.000000,top
