Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_MY-2032-08,1,MY-2032-08,
C1,C0603,1,220nF,
"C10, C5, C6, C7, C8",CAP-TH_BD6.3-P2.50-D1.0-FD,5,KF1A221ME050A00CE016,C271305
"C2, C3, C9",C0402,3,100nF,
C4,C0402,1,10uF,
D1,SMA_L4.2-W2.6-LS5.3-RD,1,SS14,
LED1,LED0805-R-RD,1,17-21SUYC/TR8,
"LED2, LED3",LED0805-RD_GREEN,2,XL-2835UPC-02,C965815
OC1,LED0603-RD,1,KT-0603R,
ON/OFF,SW-TH_MSK12C02,1,MSK12C02,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,S8050,
Q3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A,C908265
R1,R0603,1,47Ω,
R2,R0402,1,200kΩ,
R3,R0402,1,866kΩ,
R4,R0402,1,100Ω,
R5,R0402,1,33Ω,
R7,R0402,1,1kΩ,
U1,XQFN-8_L1.6-W1.6-P0.50-BL,1,NT3H2111W0FHKH,
U2,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,
U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A_C351410,
