"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C5","2","0.1µF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2, C6","2","C","Capacitor_SMD:C_0805_2012Metric",""
"3","C3, C4","2","22pF","Capacitor_SMD:C_0805_2012Metric",""
"4","J1","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal",""
"5","J2, J3, J5","3","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"6","J4, J7","2","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"7","J6","1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"8","R1","1","10kΩ","Capacitor_SMD:C_0805_2012Metric",""
"9","R2","1","10kΩ","Resistor_SMD:R_0805_2012Metric",""
"10","SW1","1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"11","U1","1","ATmega328P-A","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"12","U2","1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"13","Y1","1","Crystal","Crystal:Crystal_HC49-U_Vertical",""
