Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BH-18650-B6AA002,2,3.7V,
"C1, C4",CAPC2012X135N,2,10 uF,
"C2, C3",CAPC2012X140N,2,4.7 uF,
"D1, D2, D3, D4, D5, D6",ST(Semtech) 1N4148W,6,D,
"D7, D8",D_SMA,2,SS14,
"J1, J2, J3, J4",1x10 conn,4,Conn_01x10_Socket,
"J5, J6",USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,2,USB_C_Receptacle_USB2.0_16P,
"L1, L2",CDRH2D14NP-2R2NC,2,2.2 uH,
MICRO_SD1,TF-01A,1,TF-01A,
"R1, R2, R4, R7, R9",RESC1607X60N,5,10k,
"R10, R11, R6, R8",RESC1607X60N,4,56k,
"R3, R5",RESC1607X60N,2,20k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_TS-1088-AR02016,8,SW_Push,
"U1, U3",DC-DC_Converter,2,DC-DC_Converter,
U2,ILI9341 320x240 Symbol,1,TFT_320x240,
"U5, U7",ESP32-S3-WROOM-1,2,ESP32-S3-WROOM-1,
