Designator,Mid X,Mid Y,Rotation,Layer
BT1,106.43,-93.51,180.0,bottom
BT2,70.98,-149.15,0.0,bottom
C1,102.191839,-60.854982,270.0,bottom
C2,104.941839,-64.691982,0.0,bottom
C3,73.345,-120.46,270.0,bottom
C4,69.515,-123.21,180.0,bottom
D1,34.31,-65.3,0.0,bottom
D2,44.28,-55.4,0.0,bottom
D3,174.3425,-60.6,180.0,bottom
D4,54.28,-65.5,0.0,bottom
D5,44.28,-75.5,0.0,bottom
D6,162.6925,-65.55,0.0,bottom
D7,99.23,-58.0,270.0,bottom
D8,66.655,-126.17,180.0,bottom
J1,113.09,-137.15,180.0,top
J2,87.66,-137.15,180.0,top
J3,64.81,-106.65,0.0,top
J4,90.23,-106.65,0.0,top
J5,81.57,-37.365,180.0,bottom
J6,57.0,-108.0,180.0,bottom
L1,104.79066,-56.960661,270.0,bottom
L2,65.615,-120.61,180.0,bottom
MICRO_SD1,132.43,-41.0306,180.0,bottom
R1,128.43,-50.1,180.0,bottom
R10,55.015,-113.72,180.0,bottom
R11,59.48,-113.72,180.0,bottom
R2,107.63,-64.0,270.0,bottom
R3,107.63,-60.9,270.0,bottom
R4,72.655,-117.77,180.0,bottom
R5,69.555,-117.77,180.0,bottom
R6,79.58,-43.07,180.0,bottom
R7,95.165,-53.39,180.0,bottom
R8,84.06,-43.07,180.0,bottom
R9,80.74,-114.81,180.0,bottom
SW1,30.58,-62.1,0.0,top
SW2,40.58,-52.1,0.0,top
SW3,50.58,-62.1,0.0,top
SW4,40.58,-72.1,0.0,top
SW5,173.9925,-57.1,0.0,top
SW6,158.9925,-62.1,0.0,top
SW7,95.1,-49.59,90.0,bottom
SW8,76.165,-114.8,0.0,bottom
U1,69.945,-120.51,0.0,bottom
U2,107.295,-62.1,90.0,top
U3,104.891839,-61.291982,90.0,bottom
U5,104.83,-121.975,90.0,bottom
U7,107.43,-43.4,0.0,bottom
