Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,C131337
"C1, C2, C3, C6, C7",0805,5,100nF,C49678
"C10, C9",0402,2,10uF,
C11,0402,1,1uF,
"C12, C13",0805,2,1uF,
"C14, C15",1206,2,100uF,
"C4, C5",0805,2,12pF,C1792
C8,0402,1,100nF,C49678
"D1, D64",0805,2,GREEN,C2297
"D10, D13, D16, D19, D22, D25, D28, D31, D34, D37, D4, D40, D43, D46, D49, D52, D55, D58, D61, D7",Neopixel 5mm,20,SK6812MINI-E,C5149201
"D12, D15, D18, D21, D24, D27, D30, D33, D36, D39, D42, D45, D48, D51, D54, D57, D6, D60, D63, D9",SK6812-SIDE,20,SK6812SIDE,C2890037
D2,0805,1,YELLOW,C2296
"D3, D66",D_SMA,2,C8678,C8678
D65,0805,1,RED,C84256
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0 C165948,C165948
J2,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Board2Board Connectors,
Q4,SOT-23,1,AO3401A,C15127
"R1, R2",0805,2,5k1,C27834
"R11, R16",0402,2,10k,
"R12, R13, R15",0402,3,4k7,
R14,0402,1,1k,
"R3, R4",0805,2,1k,C17513
R5,0805,1,10k,C17414
R6,0402,1,1k5,
"R7, R8",0805,2,330R,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST C318884,C318884
SW3,SW_DIP_SPSTx06_Slide_KingTek_DSHP06TS_W7.62mm_P1.27mm,1,SW_DIP_x06 C40737,C40737
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
U2,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DHTR,C15134
U3,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,C2977777
U4,SOT-23-3,1,XC6206P332MR,C5446
U5,TSOT-23-6,1,TP4057,C12044
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz C13738,C13738
