Designator,Mid X,Mid Y,Rotation,Layer
A1,125.222,-82.296,180.0,top
BT1,107.696,-90.1192,270.0,top
C1,115.7875,-53.88,0.0,top
C10,107.7214,-81.0006,270.0,top
C11,101.854,-80.4672,180.0,top
C12,116.586,-81.0475,90.0,top
C13,113.8135,-78.105,0.0,top
C14,92.47,-83.78,270.0,top
C15,141.47,-83.25,270.0,top
C2,109.2454,-44.0944,180.0,top
C3,119.8007,-53.8546,0.0,top
C4,121.18,-80.698,180.0,top
C5,120.9255,-72.644,0.0,top
C6,121.4374,-68.2752,225.0,top
C7,113.718777,-57.985223,225.0,top
C8,115.428,-75.61,180.0,top
C9,114.0082,-69.8696,180.0,top
D1,113.08,-50.373,90.0,top
D10,77.289703,-99.370425,216.0,bottom
D12,72.609732,-98.469401,216.0,top
D13,72.256408,-102.640952,217.0,bottom
D15,68.427612,-101.621622,217.0,top
D16,67.344433,-105.870275,214.0,bottom
D18,63.983832,-104.847487,214.0,top
D19,62.173649,-108.7526,210.0,bottom
D2,121.8008,-50.2697,90.0,top
D21,59.245002,-107.797539,209.4,top
D22,56.6166,-111.4806,200.0,bottom
D24,54.037462,-110.144502,200.5,top
D25,50.650715,-113.177322,186.2,bottom
D27,48.487829,-111.575159,186.2,top
D28,93.754082,-91.072013,201.4,bottom
D3,106.6292,-67.6082,90.0,top
D30,86.89959,-90.250576,201.4,top
D31,44.164413,-113.384981,176.0,bottom
D33,42.778613,-111.428413,178.2,top
D34,150.7236,-95.4786,150.0,bottom
D36,152.536847,-92.486025,150.0,top
D37,155.829,-98.806,144.6,bottom
D39,157.387869,-95.511961,144.6,top
D4,87.917052,-93.345,210.0,bottom
D40,160.7312,-102.3874,143.3,bottom
D42,161.655745,-98.760255,143.3,top
D43,165.6842,-105.7656,143.5,bottom
D45,166.198292,-102.091972,143.5,top
D46,170.978344,-108.627407,152.7,bottom
D48,170.636753,-105.11361,146.1,top
D49,176.4538,-111.252,152.2,bottom
D51,175.714626,-108.337845,152.2,top
D52,182.3212,-112.9538,161.6,bottom
D54,181.216081,-110.505615,161.6,top
D55,188.155714,-113.605866,175.6,bottom
D57,186.548926,-111.690303,175.6,top
D58,145.1864,-92.6338,158.6,bottom
D6,81.669794,-92.396624,209.2,top
D60,147.778122,-90.161027,158.6,top
D61,194.08,-112.91,190.0,bottom
D63,191.82686,-111.572804,188.0,top
D64,103.9114,-85.2768,270.0,top
D65,106.0958,-85.2932,270.0,top
D66,106.807,-74.676,90.0,top
D7,82.484021,-96.101003,212.0,bottom
D9,77.170048,-95.380763,213.0,top
J1,117.75,-38.5,180.0,top
J3,88.65,-86.01,180.0,top
J4,145.7,-86.01,180.0,top
Q4,103.3272,-74.9554,90.0,top
R1,124.4346,-40.9542,270.0,top
R11,111.9228,-74.5706,270.0,top
R12,111.9228,-72.6636,90.0,top
R13,114.668,-71.1142,180.0,top
R14,102.3874,-85.8032,270.0,top
R15,105.664,-79.248,0.0,top
R16,101.8814,-79.4004,180.0,top
R2,111.125,-41.005,270.0,top
R3,113.08,-46.57,270.0,top
R4,121.8,-46.5269,270.0,top
R5,123.7996,-89.043,90.0,top
R6,101.9048,-82.6516,180.0,top
R7,129.4,-93.34,90.0,top
R8,97.77,-93.24,270.0,top
SW1,118.0,-94.82,180.0,top
SW3,134.7216,-85.6996,180.0,top
U1,117.745095,-63.010697,135.0,top
U2,114.3104,-73.3552,270.0,top
U3,117.49,-48.35,270.0,top
U4,113.8174,-81.2093,270.0,top
U5,105.0091,-81.5238,180.0,top
Y1,120.9255,-76.708,90.0,top
