Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C3, C4",0805,3,0.1uF,
"C5, C6",0805,2,22pF,
C7,0805,1,10uF,
"CL1, S56",Hotswap_MX_1.75u,2,Keyswitch,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",Diode_SOD-123,67,Diode,
F1,1206,1,500m,
FB1,0805,1,60@100MHz,
"GRV1, S10, S11, S12, S13, S15, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S3, S30, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S44, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S57, S58, S6, S64, S65, S66, S67, S7, S8, S9, Z1",Hotswap_MX_1.00u,55,Keyswitch,
J1,Reset_Pretty-Mask,1,AVR-ISP-6,
"L-CMD1, S63",Hotswap_MX_1.25u,2,Keyswitch,
"L-Shift1, S43",Hotswap_MX_2.25u,2,Keyswitch,
"L-alt1, L-ctrl1, S29, TAB1",Hotswap_MX_1.50u,4,Keyswitch,
"R1, R4",0805,2,10k,
"R5, R6",0805,2,22,
"R7, R8",0805,2,5.1k,
S14,Hotswap_MX_2.00u,1,Keyswitch,
S62,Hotswap_MX_6.50u,1,Keyswitch,
SW1,SW_SPST_SKQG_WithStem,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SOT143B,1,PRTR5V0U2X,
USB1,HRO-TYPE-C-31-M-12-HandSoldering,1,HRO-TYPE-C-31-M-12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,
