Designator,Mid X,Mid Y,Rotation,Layer
D1,164.0363,-67.45,0.0,top
D2,197.3313,-67.8187,0.0,top
D3,192.5688,-115.4437,0.0,top
D4,166.575,-115.4437,0.0,top
D5,205.6288,-97.675,0.0,top
D6,179.15,-83.3125,90.0,top
D7,197.15,-86.0,90.0,top
D8,179.15,-102.3625,90.0,top
D9,197.15,-102.3625,90.0,top
J1,145.675,-115.6562,90.0,top
M1,179.5938,-69.8312,0.0,top
Q1,172.45,-69.8312,180.0,top
R1,197.05,-79.68,90.0,top
R2,197.175,-96.025,180.0,top
R3,196.9638,-92.2125,180.0,top
R4,194.7938,-74.5937,180.0,top
S1,169.175,-83.45,0.0,top
S2,188.225,-83.45,0.0,top
S3,169.025,-102.35,0.0,top
S4,187.975,-102.25,0.0,top
SW1,201.525,-80.8,0.0,top
