Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_10x10,2,220uF,C125977
"C3, C4, C5, C6",0603,4,10uf, C1691
"D1, D2, D3, D4, D5, D6, D7, D8",SOD-123FL_L2.8-W1.8-LS3.7-RD,8,1N4007W 42MIL,C2944153
J1,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
"J3, J8, J9",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
"J4, J5","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
LED1,LED0805-R-RD,1,FC-2012HRK-620D,C84256
R1,0603,1,1k,
U1,TO-252-3_L6.6-W6.1-P4.57-LS9.9-BR-CW,1,78M05A_C20417177,C20417177
U2,SIP-15_L20.0-W4.6-P1.27-L,1,L298N(XBLW),C18723576
