Designator,Mid X,Mid Y,Rotation,Layer
C1,123.0,-64.0,90.0,top
C2,135.0,-64.0,90.0,top
C3,122.225,-56.0,0.0,top
C4,135.775,-56.0,0.0,top
C5,113.0,-51.225,90.0,top
C6,144.2,-51.0,270.0,top
D1,142.6,-58.0,0.0,top
D2,142.8,-44.0,0.0,top
D3,114.4,-44.0,180.0,top
D4,114.4,-58.0,180.0,top
D5,142.6,-54.0,180.0,top
D6,142.8,-48.0,180.0,top
D7,114.4,-48.0,0.0,top
D8,114.4,-54.0,0.0,top
J1,119.5,-84.0,0.0,top
J3,117.2,-75.0,270.0,top
J4,111.305,-64.995,270.0,top
J5,146.805,-65.005,90.0,top
J6,138.48,-84.0,90.0,top
J8,130.47,-82.73,0.0,top
J9,146.47,-82.73,0.0,top
LED1,123.42,-76.0,0.0,top
R1,127.645,-76.0,180.0,top
U1,138.0,-76.0,180.0,top
U2,129.0,-49.54,0.0,top
