Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0603"	"31.5mm"	"-24.51mm"	"31.5mm"	"-24.51mm"	"30.6mm"	"-24.51mm"	"T"	"0"	"10uF"
"C2"	"CAP-TH_BD12.5-P5.00-D1.2-FD"	"76.84mm"	"-7.62mm"	"76.84mm"	"-7.62mm"	"74.34mm"	"-7.62mm"	"T"	"0"	"4700uF"
"C3"	"C0603"	"36.2mm"	"-24.51mm"	"36.2mm"	"-24.51mm"	"35.3mm"	"-24.51mm"	"T"	"0"	"4.7uF"
"C4"	"C0603"	"18.52mm"	"-15.37mm"	"18.52mm"	"-15.37mm"	"17.62mm"	"-15.37mm"	"T"	"0"	"4.7uF"
"D1"	"SOD-123F_L2.8-W1.8-LS3.7-RD"	"26.16mm"	"-30.61mm"	"26.16mm"	"-30.61mm"	"24.61mm"	"-30.61mm"	"T"	"0"	"MBR120VLSFT1G"
"D2"	"SOD-123F_L2.8-W1.8-LS3.7-RD"	"26.16mm"	"-25.15mm"	"26.16mm"	"-25.15mm"	"24.61mm"	"-25.15mm"	"T"	"0"	"MBR120VLSFT1G"
"D3"	"SOD-123F_L2.8-W1.8-LS3.7-RD"	"26.16mm"	"-27.94mm"	"26.16mm"	"-27.94mm"	"24.61mm"	"-27.94mm"	"T"	"0"	"MBR120VLSFT1G"
"H1"	"1X02 2.54MM HOLES HEADERS PINS"	"34.42mm"	"-36.07mm"	"34.42mm"	"-34.8mm"	"34.42mm"	"-34.8mm"	"T"	"0"	"Header pins 1x02"
"H2"	"1X02 2.54MM HOLES HEADERS PINS"	"38.23mm"	"-35.81mm"	"38.23mm"	"-34.54mm"	"38.23mm"	"-34.54mm"	"T"	"0"	"Header pins 1x02"
"H3"	"1X02 2.54MM HOLES HEADERS PINS"	"41.4mm"	"-35.81mm"	"41.4mm"	"-34.54mm"	"41.4mm"	"-34.54mm"	"T"	"0"	"Header pins 1x02"
"H4"	"1X04 2.54MM HOLES HEADERS PINS"	"38.1mm"	"-29.72mm"	"41.91mm"	"-29.72mm"	"41.91mm"	"-29.72mm"	"T"	"270"	"Header pins 1x04"
"J1"	"DC050 DC POWER CONNECTOR"	"8.99mm"	"-14.1mm"	"5.84mm"	"-14.1mm"	"5.84mm"	"-8.35mm"	"T"	"0"	"DC050"
"J2"	"DC-IN-SMD_DC-045B-13A"	"4.95mm"	"-39.62mm"	"4.95mm"	"-39.62mm"	"8.7mm"	"-38.8mm"	"T"	"0"	"DC-045B-13A"
"JST1"	"JST-PH-2-SMT-RA"	"28.7mm"	"-5.33mm"	"28.7mm"	"-5.33mm"	"29.69mm"	"-7.94mm"	"T"	"0"	"JST_2-PIN_Female_Connector"
"JST2"	"JST-PH-2-SMT-RA"	"19.3mm"	"-5.33mm"	"19.3mm"	"-5.33mm"	"20.29mm"	"-7.94mm"	"T"	"0"	"JST_2-PIN_Female_Connector"
"LED1"	"LED0603_BLUE"	"81.15mm"	"-21.08mm"	"81.15mm"	"-21.08mm"	"80.3mm"	"-21.08mm"	"T"	"0"	"LED-0603_B"
"LED2"	"LED0603_GREEN"	"81.15mm"	"-28.7mm"	"81.15mm"	"-28.7mm"	"80.3mm"	"-28.7mm"	"T"	"0"	"LED-0603_G"
"LED3"	"LED0603_RED"	"81.15mm"	"-36.32mm"	"81.15mm"	"-36.32mm"	"80.3mm"	"-36.32mm"	"T"	"0"	"LED-0603_R"
"R1"	"R0603"	"23.5mm"	"-15.37mm"	"23.5mm"	"-15.37mm"	"22.7mm"	"-15.37mm"	"T"	"0"	"1k"
"R2"	"R0603"	"18.54mm"	"-19.69mm"	"18.54mm"	"-19.69mm"	"17.74mm"	"-19.69mm"	"T"	"0"	"1k"
"R3"	"R0603"	"23.62mm"	"-19.69mm"	"23.62mm"	"-19.69mm"	"22.82mm"	"-19.69mm"	"T"	"0"	"1k"
"R4"	"R0603"	"28.7mm"	"-19.69mm"	"28.7mm"	"-19.69mm"	"27.9mm"	"-19.69mm"	"T"	"0"	"5.1k"
"R5"	"R0603"	"33.78mm"	"-19.69mm"	"33.78mm"	"-19.69mm"	"32.98mm"	"-19.69mm"	"T"	"0"	"5.1k"
"R7"	"R0603"	"38.86mm"	"-19.69mm"	"38.86mm"	"-19.69mm"	"38.06mm"	"-19.69mm"	"T"	"0"	"10k"
"R8"	"R0603"	"21.46mm"	"-24.77mm"	"21.46mm"	"-24.77mm"	"20.66mm"	"-24.77mm"	"T"	"0"	"10k"
"R9"	"R0603"	"17.15mm"	"-24.77mm"	"17.15mm"	"-24.77mm"	"16.35mm"	"-24.77mm"	"T"	"0"	"270k"
"R10"	"R0603"	"28.58mm"	"-15.37mm"	"28.58mm"	"-15.37mm"	"27.78mm"	"-15.37mm"	"T"	"0"	"100k"
"R11"	"R0603"	"33.66mm"	"-15.37mm"	"33.66mm"	"-15.37mm"	"32.86mm"	"-15.37mm"	"T"	"0"	"0k"
"R12"	"R0603"	"38.74mm"	"-15.37mm"	"38.74mm"	"-15.37mm"	"37.94mm"	"-15.37mm"	"T"	"0"	"∞k"
"R101"	"R_0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER"	"55.74mm"	"-39.88mm"	"58.67mm"	"-41.15mm"	"54.86mm"	"-39.88mm"	"T"	"270"	"R_0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER"
"RT1"	"R_AXIAL-0.3"	"18.67mm"	"-27.94mm"	"18.67mm"	"-27.94mm"	"14.86mm"	"-27.94mm"	"T"	"0"	"10k"
"RT2"	"R0603"	"41.02mm"	"-24.38mm"	"41.02mm"	"-24.38mm"	"40.22mm"	"-24.38mm"	"T"	"0"	"10k"
"U1"	"QFN-20_L4.0-W4.0-P0.50-BL-EP"	"17.4mm"	"-36.7mm"	"17.4mm"	"-36.7mm"	"16.4mm"	"-38.7mm"	"T"	"0"	"MCP73871-2AAI/ML"
"USB1"	"USB-C-SMD_20P-P0.50-L6.5-W8.9"	"3.18mm"	"-27.43mm"	"3.18mm"	"-27.43mm"	"0.89mm"	"-23.11mm"	"T"	"0"	"USB-310F"
