Designator,Mid X,Mid Y,Rotation,Layer
C1,250.175992,-141.089177,0.0,bottom
C2,264.914285,-142.87512,270.0,bottom
C3,241.697067,-154.186085,270.0,bottom
C4,260.7325,-158.87125,180.0,bottom
C5,272.653354,-149.423563,180.0,bottom
C6,272.653354,-147.042311,180.0,bottom
C7,241.6825,-144.58375,0.0,bottom
CL1,96.42625,-113.6275,0.0,top
D1,98.8075,-75.5275,90.0,bottom
D10,270.2575,-75.5275,90.0,bottom
D11,289.3075,-75.5275,90.0,bottom
D12,308.3575,-75.5275,90.0,bottom
D13,327.4075,-75.5275,90.0,bottom
D14,355.9825,-75.5275,90.0,bottom
D15,384.5575,-75.5275,90.0,bottom
D16,103.57,-94.5775,90.0,bottom
D17,127.3825,-94.5775,90.0,bottom
D18,146.4325,-94.5775,90.0,bottom
D19,165.4825,-94.5775,90.0,bottom
D2,117.8575,-75.5275,90.0,bottom
D20,184.5325,-94.5775,90.0,bottom
D21,203.5825,-94.5775,90.0,bottom
D22,222.6325,-94.5775,90.0,bottom
D23,241.6825,-94.5775,90.0,bottom
D24,260.7325,-94.5775,90.0,bottom
D25,279.7825,-94.5775,90.0,bottom
D26,298.8325,-94.5775,90.0,bottom
D27,317.8825,-94.5775,90.0,bottom
D28,336.9325,-94.5775,90.0,bottom
D29,360.745,-94.5775,90.0,bottom
D3,136.9075,-75.5275,90.0,bottom
D30,384.5575,-94.5775,90.0,bottom
D31,105.95125,-113.6275,90.0,bottom
D32,132.145,-113.6275,90.0,bottom
D33,151.195,-113.6275,90.0,bottom
D34,170.245,-113.6275,90.0,bottom
D35,189.295,-113.6275,90.0,bottom
D36,208.345,-113.6275,90.0,bottom
D37,227.395,-113.6275,90.0,bottom
D38,246.445,-113.6275,90.0,bottom
D39,265.495,-113.6275,90.0,bottom
D4,155.9575,-75.5275,90.0,bottom
D40,284.545,-113.6275,90.0,bottom
D41,303.595,-113.6275,90.0,bottom
D42,322.645,-113.6275,90.0,bottom
D43,353.60125,-113.6275,90.0,bottom
D44,384.5575,-113.6275,90.0,bottom
D45,110.71375,-132.6775,90.0,bottom
D46,141.67,-132.6775,90.0,bottom
D47,160.72,-132.6775,90.0,bottom
D48,179.77,-132.6775,90.0,bottom
D49,198.82,-132.6775,90.0,bottom
D5,175.0075,-75.5275,90.0,bottom
D50,217.87,-132.6775,90.0,bottom
D51,236.92,-132.6775,90.0,bottom
D52,255.97,-132.6775,90.0,bottom
D53,275.02,-132.6775,90.0,bottom
D54,294.07,-132.6775,90.0,bottom
D55,313.12,-132.6775,90.0,bottom
D56,339.31375,-132.6775,90.0,bottom
D57,365.5075,-132.6775,90.0,bottom
D58,384.5575,-132.6775,90.0,bottom
D59,103.57,-151.7275,90.0,bottom
D6,194.0575,-75.5275,90.0,bottom
D60,132.145,-151.7275,90.0,bottom
D61,160.72,-151.7275,90.0,bottom
D62,232.1575,-151.7275,90.0,bottom
D63,308.3575,-151.7275,90.0,bottom
D64,327.4075,-151.7275,90.0,bottom
D65,346.4575,-151.7275,90.0,bottom
D66,365.5075,-151.7275,90.0,bottom
D67,384.5575,-151.7275,90.0,bottom
D7,213.1075,-75.5275,90.0,bottom
D8,232.1575,-75.5275,90.0,bottom
D9,251.2075,-75.5275,90.0,bottom
F1,227.395,-85.0525,270.0,bottom
FB1,239.360521,-64.060433,0.0,bottom
GRV1,89.2825,-75.5275,0.0,top
L-CMD1,148.81375,-151.7275,0.0,top
L-Shift1,101.18875,-132.6775,0.0,top
L-alt1,122.62,-151.7275,0.0,top
L-ctrl1,94.045,-151.7275,0.0,top
R1,244.078323,-159.543911,0.0,bottom
R4,193.476725,-154.186067,0.0,bottom
R5,244.078323,-140.196206,270.0,bottom
R6,246.459575,-140.196206,270.0,bottom
R7,237.92,-80.29,180.0,bottom
R8,226.395,-80.29,0.0,bottom
S10,260.7325,-75.5275,0.0,top
S11,279.7825,-75.5275,0.0,top
S12,298.8325,-75.5275,0.0,top
S13,317.8825,-75.5275,0.0,top
S14,346.4575,-75.5275,0.0,top
S15,375.0325,-75.5275,0.0,top
S17,117.8575,-94.5775,0.0,top
S18,136.9075,-94.5775,0.0,top
S19,155.9575,-94.5775,0.0,top
S2,108.3325,-75.5275,0.0,top
S20,175.0075,-94.5775,0.0,top
S21,194.0575,-94.5775,0.0,top
S22,213.1075,-94.5775,0.0,top
S23,232.1575,-94.5775,0.0,top
S24,251.2075,-94.5775,0.0,top
S25,270.2575,-94.5775,0.0,top
S26,289.3075,-94.5775,0.0,top
S27,308.3575,-94.5775,0.0,top
S28,327.4075,-94.5775,0.0,top
S29,351.22,-94.5775,0.0,top
S3,127.3825,-75.5275,0.0,top
S30,375.0325,-94.5775,0.0,top
S32,122.62,-113.6275,0.0,top
S33,141.67,-113.6275,0.0,top
S34,160.72,-113.6275,0.0,top
S35,179.77,-113.6275,0.0,top
S36,198.82,-113.6275,0.0,top
S37,217.87,-113.6275,0.0,top
S38,236.92,-113.6275,0.0,top
S39,255.97,-113.6275,0.0,top
S4,146.4325,-75.5275,0.0,top
S40,275.02,-113.6275,0.0,top
S41,294.07,-113.6275,0.0,top
S42,313.12,-113.6275,0.0,top
S43,344.07625,-113.6275,0.0,top
S44,375.0325,-113.6275,0.0,top
S47,151.195,-132.6775,0.0,top
S48,170.245,-132.6775,0.0,top
S49,189.295,-132.6775,0.0,top
S5,165.4825,-75.5275,0.0,top
S50,208.345,-132.6775,0.0,top
S51,227.395,-132.6775,0.0,top
S52,246.445,-132.6775,0.0,top
S53,265.495,-132.6775,0.0,top
S54,284.545,-132.6775,0.0,top
S55,303.595,-132.6775,0.0,top
S56,329.78875,-132.6775,0.0,top
S57,355.9825,-132.6775,0.0,top
S58,375.0325,-132.6775,0.0,top
S6,184.5325,-75.5275,0.0,top
S62,222.6325,-151.7275,0.0,top
S63,296.45125,-151.7275,0.0,top
S64,317.8825,-151.7275,0.0,top
S65,336.9325,-151.7275,0.0,top
S66,355.9825,-151.7275,0.0,top
S67,375.0325,-151.7275,0.0,top
S7,203.5825,-75.5275,0.0,top
S8,222.6325,-75.5275,0.0,top
S9,241.6825,-75.5275,0.0,top
