Designator,Footprint,Quantity,Value,LCSC Part #
BT1,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,Battery_Cell,
C1,0201,1,C - 10uF,
"C10, C9",0402,2,C - 0.1µF,
"C2, C3, C4, C5, C6",0603,5,C - 22uF,
C7,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,C_Polarized -  10uF -  Tantalum Covers,
C8,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,C_Polarized - 10uF Tantalum,
"D1, D2, D3, D4",0805,4,LED,
"R1, R2",0603,2,R - 5.1kΩ,
"R3, R4",0402,2,R - 100kΩ,
R5,1206,1,R - 10kΩ,
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,~,
SW2,SW-SMD_3P-P1.50_L2.7-W6.6,1,~,
U1,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U2,USB-C-SMD_YTC-TC16S-24,1,~,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
U6,SOIC9P127_490X600X170L84X42T330X241N,1,IP5306,
