Designator,Mid X,Mid Y,Rotation,Layer
C1,193.542038,-81.75,180.0,top
C10,185.25,-72.0,0.0,top
C2,215.525,-82.48,0.0,top
C3,215.525,-84.0,0.0,top
C4,215.525,-85.5,0.0,top
C5,215.525,-87.0,0.0,top
C6,190.5,-68.5,90.0,top
C7,205.25,-91.0,180.0,top
C8,196.25,-95.75,180.0,top
C9,189.0,-69.75,90.0,top
D1,185.75,-73.75,0.0,top
D2,185.75,-75.75,0.0,top
D3,185.75,-77.75,0.0,top
D4,185.75,-79.83,0.0,top
R1,190.75,-93.75,180.0,top
R2,193.25,-84.25,90.0,top
R3,202.75,-82.75,270.0,top
R4,202.75,-86.5,270.0,top
R5,209.75,-68.0,270.0,top
SW1,208.525,-84.75,0.0,top
SW2,186.041,-96.0,270.0,top
U1,186.25,-68.5,0.0,top
U2,188.485,-86.43,270.0,top
U4,197.75,-91.0,180.0,top
U5,199.35,-70.45,0.0,top
U6,198.43,-84.095,0.0,top
