Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,1,Battery_Cell,
"C3, C4",805,2,22uf,C45783
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20,WS2812B,C22461793
D23,D_SMA,1,SS34,C8678
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,L_10.4x10.4_H4.8,1,L_Small,C10165
Q2,SOT-23,1,AO3400A,C20917
R6,805,1,2.2k,C17520
R7,805,1,10k,C17414
R8,805,1,100,C17408
RV1,Potentiometer_Bourns_TC33X_Vertical,1,100k,C719186
SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_SPDT_312,
U1,XIAO-Generic-Thruhole-14P-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
U3,SOT-23-6,1,MT3608,C84817
