Designator,Mid X,Mid Y,Rotation,Layer
BT1,136.25,-61.155,270.0,top
C3,166.25,-52.95,270.0,top
C4,162.85,-60.05,180.0,top
D1,108.55,-80.375,90.0,top
D10,108.55,-91.85,270.0,top
D11,108.55,-102.65,90.0,top
D12,123.58,-102.75,90.0,top
D13,137.6,-102.75,90.0,top
D14,153.39,-102.75,90.0,top
D15,168.67,-102.75,90.0,top
D16,168.67,-113.0,270.0,top
D17,153.39,-113.0,270.0,top
D18,137.6,-113.0,270.0,top
D19,123.58,-113.0,270.0,top
D2,123.58,-80.4,90.0,top
D20,108.55,-112.9,270.0,top
D23,171.9,-55.6,90.0,top
D3,137.6,-80.45,90.0,top
D4,153.39,-80.425,90.0,top
D5,168.67,-80.35,90.0,top
D6,168.67,-91.95,270.0,top
D7,153.39,-91.95,270.0,top
D8,137.6,-91.95,270.0,top
D9,123.58,-91.95,270.0,top
J1,102.85,-53.96,180.0,top
L1,153.85,-56.2,270.0,top
Q2,103.1,-61.4375,270.0,top
R6,162.9,-56.75,180.0,top
R7,166.8,-62.45,0.0,top
R8,104.05,-66.15,270.0,top
RV1,167.1,-57.4,90.0,top
SW1,153.75,-65.4,0.0,top
U1,115.2,-59.6,0.0,top
U3,162.8375,-53.05,270.0,top
