Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,0.1uF,
C3,0805,1,10uF,
"D1, D2",0805,2,Blue,
J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J6,PinSocket_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
R1,0805,1,10k,
"R2, R3",0805,2,R220,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-P,C14877
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,C88224
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,C351787
