Designator,Mid X,Mid Y,Rotation,Layer
C1,120.5992,-80.8736,90.0,top
C2,100.965,-87.884,270.0,bottom
C3,94.488,-96.9518,90.0,bottom
D1,118.9482,-86.3346,180.0,top
D2,118.9482,-84.0994,180.0,top
J1,120.8128,-94.9402,270.0,top
J2,93.472,-80.264,90.0,top
J3,110.6932,-80.264,270.0,top
J4,114.3458,-80.264,90.0,top
J5,111.887,-97.536,270.0,top
J6,102.3112,-80.2894,0.0,top
R1,97.663,-87.7805,270.0,bottom
R2,107.3114,-83.7673,270.0,bottom
R3,110.2614,-83.7673,90.0,bottom
U1,99.314,-87.884,0.0,top
U2,112.522,-87.884,270.0,top
U3,99.314,-94.234,90.0,bottom
