Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.00mm,2,C - 10 µF,
"D1, D2, D3, D4",0603,4,LED - 150060GS75000,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2, R3, R4",1206,4,R - 510Ω,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R26, R27, R28, R29, R30, R31, R5, R6, R7, R8, R9",0603,25,R - 0Ω,
"R24, R25",1206,2,R - 4.7 kΩ,
S1,4312560837X6,1,RightAngleL,
S2,4312560837X6,1,RightAngleR,
S3,4312560837X6,1,RightAnglePair,
SW1,SW_PUSH_6mm_H5mm,1,SW_PushHome,
SW10,SW_PUSH_6mm_H5mm,1,SW_PushScreenshot,
SW11,SW_PUSH_6mm_H5mm,1,SW_Push-,
SW12,SW_PUSH_6mm_H5mm,1,SW_PushLeft,
SW13,SW_PUSH_6mm_H5mm,1,SW_PushUp,
SW14,SW_PUSH_6mm_H5mm,1,SW_PushDown,
SW15,SW_PUSH_6mm_H5mm,1,SW_PushRight,
SW16,SW_PUSH_6mm_H5mm,1,SW_PushZL,
SW2,SW_PUSH_6mm_H5mm,1,SW_Push+,
SW3,SW_PUSH_6mm_H5mm,1,SW_PushY,
SW4,SW_PUSH_6mm_H5mm,1,SW_PushX,
SW5,SW_PUSH_6mm_H5mm,1,SW_PushB,
SW6,SW_PUSH_6mm_H5mm,1,SW_PushA,
SW9,SW_PUSH_6mm_H5mm,1,SW_PushZR,
U1,SOP63P599X175-20N,1,FT231XS-R,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,
U6,DIP-28_W7.62mm,1,MCP23017_SP,
"U7-JOYSTICKRIGHT1, U8-JOYSTICKL1",XDCR_COM-09032,2,COM-09032-Joystick,
