Designator,Mid X,Mid Y,Rotation,Layer
C1,183.0,-51.0,180.0,top
C2,183.0,-45.0,180.0,top
D1,186.91,-28.0,90.0,top
D2,190.0,-28.0,90.0,top
D3,193.0,-28.0,90.0,top
D4,196.0,-28.0,90.0,top
J1,203.5,-29.775,180.0,top
R1,187.0,-32.45,270.0,top
R10,225.0,-74.175,90.0,top
R11,223.5,-74.175,90.0,top
R12,217.49,-97.9125,90.0,top
R13,197.0,-50.0,90.0,top
R14,196.5,-46.0,270.0,top
R15,235.5,-30.5,0.0,top
R16,194.0,-60.5,180.0,top
R17,180.0,-56.5,180.0,top
R18,169.5,-93.0,180.0,top
R19,180.0,-84.5,180.0,top
R2,190.0,-32.45,270.0,top
R20,176.354647,-97.997494,270.0,top
R21,187.0,-89.0,270.0,top
R22,209.0,-40.0,90.0,top
R23,167.5,-39.5,180.0,top
R24,195.0,-72.5,180.0,top
R25,195.0,-70.0,180.0,top
R26,196.0,-42.0,90.0,top
R27,199.5,-37.5,90.0,top
R28,190.5,-72.5,180.0,top
R29,188.5,-56.0,270.0,top
R3,193.0,-32.45,270.0,top
R30,187.0,-71.0,270.0,top
R31,220.0,-97.9125,90.0,top
R4,196.0,-32.45,270.0,top
R5,212.0,-61.0,0.0,top
R6,224.5,-49.784055,0.0,top
R7,223.5,-70.5875,90.0,top
R8,250.990572,-41.30817,90.0,top
R9,225.0,-70.5875,90.0,top
S1,160.75,-41.0,180.0,top
S2,243.0,-41.5,180.0,top
S3,214.0,-34.5,180.0,top
SW1,219.0,-63.25,0.0,top
SW10,186.75,-62.75,0.0,top
SW11,172.5,-52.0,0.0,top
SW12,162.88,-95.25,0.0,top
SW13,173.13,-86.75,0.0,top
SW14,173.13,-103.75,0.0,top
SW15,183.63,-95.5,0.0,top
SW16,160.75,-31.75,0.0,bottom
SW2,232.0,-52.0,0.0,top
SW3,242.5,-65.0,0.0,top
SW4,253.0,-56.5,0.0,top
SW5,253.0,-73.5,0.0,top
SW6,263.5,-65.0,0.0,top
SW9,243.0,-32.75,0.0,bottom
U1,217.5,-44.0,0.0,top
U2,191.0,-48.15,270.0,top
U3,202.91,-92.51,180.0,top
U6,203.19,-58.39,0.0,top
U7-JOYSTICKRIGHT1,156.737,-68.5625,0.0,top
U8-JOYSTICKL1,234.857,-86.73,0.0,top
