Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,Fuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,12.025,-18.65,-90.0,top
F2,Fuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,11.95,-49.1,0.0,top
F3,Fuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,12.0,-89.75,90.0,top
J1,Conn_01x01_Pin,SMD_spring_clamp_connector_1x1,9.025,-14.8,90.0,top
J2,Conn_01x01_Pin,SMD_spring_clamp_connector_1x1,4.4,-57.925,0.0,top
J3,Conn_01x01_Pin,SMD_spring_clamp_connector_1x1,9.025,-93.6,90.0,top
R1,R,R_0603_1608Metric,26.3,-25.5,-90.0,top
R2,R,R_0603_1608Metric,24.8,-25.5,-90.0,top
R3,R,R_0603_1608Metric,23.3,-25.5,-90.0,top
R4,R,R_0603_1608Metric,42.75,-25.5,-90.0,top
R5,R,R_0603_1608Metric,41.25,-25.5,-90.0,top
R6,R,R_0603_1608Metric,39.75,-25.5,-90.0,top
R7,R,R_0603_1608Metric,61.25,-25.5,-90.0,top
R8,R,R_0603_1608Metric,59.75,-25.5,-90.0,top
R9,R,R_0603_1608Metric,58.25,-25.5,-90.0,top
R10,R,R_0603_1608Metric,79.75,-25.5,-90.0,top
R11,R,R_0603_1608Metric,78.26,-25.5,-90.0,top
R12,R,R_0603_1608Metric,76.75,-25.5,-90.0,top
R13,R,R_0603_1608Metric,98.25,-25.5,-90.0,top
R14,R,R_0603_1608Metric,96.75,-25.5,-90.0,top
R15,R,R_0603_1608Metric,95.25,-25.5,-90.0,top
R16,R,R_0603_1608Metric,116.75,-25.5,-90.0,top
R17,R,R_0603_1608Metric,115.25,-25.5,-90.0,top
R18,R,R_0603_1608Metric,113.75,-25.5,-90.0,top
R19,R,R_0603_1608Metric,135.25,-25.5,-90.0,top
R20,R,R_0603_1608Metric,133.75,-25.5,-90.0,top
R21,R,R_0603_1608Metric,132.25,-25.5,-90.0,top
R22,R,R_0603_1608Metric,15.0,-41.5,-90.0,top
