Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT-TH_BS-02-A1AK006,2,BS-02-A1AK006,C964746
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0603,9,10uF,C19702
"C10, C11, C12, C13, C14, C15, C16, C17",0603,8,0.1uF,C282519
J1,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"KEY1, KEY2, KEY3, KEY4, KEY5, KEY6, KEY7, KEY8",KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH,8,B3F-4055,C84931
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB,8,WS2812B-B,C114586
R1,0603,1,300,C114617
"R2, R3, R4, R5, R6, R7, R8, R9",0603,8,10k,C25804
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AZ1117H-3.3TRG1,C110474
U2,SOT-223_L6.7-W3.5-P2.30-BR,1,AMS1117-5.0_C347223,C347223
U3,COMM-SMD_ESP-WROOM-32D,1,ESP-WROOM-32E,C19949066
