Designator,Mid X,Mid Y,Rotation,Layer
BT1,31.465157,-33.760157,90.0,top
BT2,54.955457,-33.760157,90.0,top
C1,100.0,-37.775,270.0,top
C10,106.775,-53.0,180.0,top
C11,121.775,-53.0,180.0,top
C12,136.775,-53.0,180.0,top
C13,151.775,-53.0,180.0,top
C14,166.775,-53.0,180.0,top
C15,181.775,-53.0,180.0,top
C16,196.775,-53.0,180.0,top
C17,211.775,-53.0,180.0,top
C2,107.775,-27.0,180.0,top
C3,122.775,-27.0,180.0,top
C4,137.775,-27.0,180.0,top
C5,152.775,-27.0,180.0,top
C6,167.775,-27.0,180.0,top
C7,182.775,-27.0,180.0,top
C8,197.775,-27.0,180.0,top
C9,212.775,-27.0,180.0,top
J1,96.975,-37.705,0.0,top
J2,226.0,-30.18,0.0,top
KEY1,107.5,-44.0,0.0,top
KEY2,122.5,-44.0,0.0,top
KEY3,137.5,-44.0,0.0,top
KEY4,152.5,-44.0,0.0,top
KEY5,167.5,-44.0,0.0,top
KEY6,182.5,-44.0,0.0,top
KEY7,197.5,-44.0,0.0,top
KEY8,212.5,-44.0,0.0,top
LED1,107.5,-31.65,180.0,top
LED2,122.5,-31.65,180.0,top
LED3,137.5,-31.65,180.0,top
LED4,152.5,-31.65,180.0,top
LED5,167.5,-31.65,180.0,top
LED6,182.5,-31.65,180.0,top
LED7,197.5,-31.65,180.0,top
LED8,212.5,-31.65,180.0,top
R1,103.825,-24.0,0.0,top
R2,106.825,-55.0,180.0,top
R3,121.825,-55.0,180.0,top
R4,136.825,-55.0,180.0,top
R5,151.825,-55.0,180.0,top
R6,166.825,-55.0,180.0,top
R7,181.825,-55.0,180.0,top
R8,196.825,-55.0,180.0,top
R9,211.825,-55.0,180.0,top
U1,43.0,-48.0,180.0,top
U2,67.0,-48.0,180.0,top
U3,83.0,-39.0,0.0,top
