Designator,Mid X,Mid Y,Rotation,Layer
C1,133.604,-54.053,270.0,top
C2,130.81,-52.578,90.0,top
C3,146.7104,-49.1744,0.0,top
C4,144.7704,-33.781,0.0,top
C5,137.16,-40.132,0.0,bottom
J1,139.446,-54.549,270.0,top
J2,130.556,-35.306,90.0,top
J3,139.446,-35.306,0.0,top
J4,143.51,-54.549,90.0,top
J5,151.8574,-38.968,180.0,top
J6,151.8666,-45.466,180.0,top
R1,148.3245,-33.781,0.0,top
R2,150.2664,-49.1744,0.0,top
R3,133.604,-40.132,180.0,bottom
U1,135.382,-42.672,0.0,top
U2,135.382,-46.584,90.0,bottom
U3,146.304,-37.527,0.0,top
U4,146.304,-44.005,0.0,top
