Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT_CR2032-BS-6-1,2,CR2032-BS-6-1,
BUZZER1,BUZ-SMD_L12.0-W12.0_FUET-1230,1,FUET-1230,
C1,1206,1,CL31A106KBHNNNE,
"C2, C3, C5",0805,3,CL21A476MQYNNNE,
C4,1825,1,FV46X103K302EGQ,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10, XL-5050RGBC-WS2812B-S,
"D11, D12",D_SOD-523,2,RB520S-30,
J1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,
R1,0805,1,0805W8F3300T5E,
"R10, R6, R7, R9",0805,4,0805W8F100JT5E,
"R4, R5",0603,2,0603WAF5101T5E,
R8,0805,1,0805W8F1002T5E,
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,TS-1187A-B-A-B,
SW3,SW-SMD_K3-1280S-K1,1,K3-1280S-F1,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT230P700X180-4N,1,TLV1117-50,
