Designator,Mid X,Mid Y,Rotation,Layer
BT1,117.0,-87.5,90.0,top
BT2,177.5,-89.0,90.0,top
BUZZER1,131.0,-115.5,90.0,top
C1,128.0,-131.5,0.0,top
C2,151.0,-135.5,0.0,top
C3,158.5,-130.5,180.0,top
C4,166.0,-109.55,90.0,top
C5,152.755,-141.5,180.0,top
D1,130.0,-58.0,180.0,top
D10,139.5,-96.5,180.0,top
D11,162.5,-142.5,0.0,top
D12,164.5,-130.0,180.0,top
D2,145.95,-58.15,90.0,top
D3,162.5,-58.0,90.0,top
D4,156.0,-69.0,0.0,top
D5,162.15,-82.95,90.0,top
D6,146.5,-83.0,90.0,top
D7,131.45,-83.15,90.0,top
D8,138.0,-69.5,270.0,top
D9,155.0,-96.5,0.0,top
J1,124.0,-139.125,0.0,top
R1,120.5,-117.0,0.0,top
R10,139.5,-141.5,0.0,top
R4,123.5,-130.5,180.0,top
R5,124.5,-127.5,180.0,top
R6,131.5,-141.5,0.0,top
R7,144.5,-141.5,0.0,top
R8,138.0875,-122.5,180.0,top
R9,135.5,-141.5,0.0,top
SW1,149.271,-121.5,90.0,top
SW2,157.0,-121.5,90.0,top
SW3,169.5,-136.0,270.0,top
U1,135.3,-131.3,270.0,top
U2,159.5,-136.0,0.0,top
