Designator,Mid X,Mid Y,Layer,Rotation
C1,121.25,-94.50,T,180.00
C2,126.25,-96.00,T,180.00
C3,129.75,-96.25,T,0.00
C4,146.50,-96.00,T,90.00
C5,144.00,-96.00,T,90.00
C6,145.25,-94.50,T,90.00
C7,120.25,-100.77,T,270.00
C8,122.25,-101.25,T,270.00
C9,126.25,-101.50,T,180.00
C10,138.97,-102.00,T,180.00
C11,138.50,-100.50,T,180.00
D1,124.75,-93.75,T,0.00
J1,132.70,-92.97,T,180.00
J2,129.20,-106.25,T,90.00
Q1,141.00,-95.75,T,270.00
Q2,141.25,-91.75,T,270.00
Q3,125.31,-104.00,T,0.00
Q4,140.75,-106.50,T,0.00
R1,121.25,-93.50,T,180.00
R2,142.31,-101.25,T,270.00
R3,141.25,-101.25,T,90.00
R4,144.29,-104.25,T,90.00
R5,122.25,-103.50,T,180.00
R6,122.25,-104.50,T,0.00
R7,141.75,-104.25,T,0.00
R8,139.76,-109.25,T,90.00
R9,138.75,-96.75,T,90.00
R10,143.50,-94.00,T,90.00
R11,136.49,-95.75,T,180.00
R12,141.00,-89.25,T,0.00
U1,121.25,-97.50,T,270.00
U2,133.00,-99.75,T,270.00
U3,145.25,-99.75,T,90.00
Y1,126.35,-98.85,T,270.00
