Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,10uF,
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,NSR0320MW2T1G,C48192
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"LED1, LED2, LED3",LED0603-RD_RED,3,XL-1608SURC-06,C965799
"R1, R2, R3",0603,3,1k,
"R4, R5",0603,2,5.11k,
U1,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,FT232RL-REEL,C8690
U2,XDFN-4_L1.0-W1.0-P0.65-BL-EP,1,TP74333PDQNR,C2923398
USB1,USB-C-SMD_G-SWITCH_GT-USB-9010A,1,GT-USB-9010A,C27636760
