Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,77.52,-46.5,180.0,top
C10,100nF,C_0402_1005Metric,71.0,-43.0,90.0,top
C11,1uF,C_0402_1005Metric,74.5,-43.52,90.0,top
C12,10uF,C_0402_1005Metric,52.52,-35.5,0.0,top
C13,10uF,C_0402_1005Metric,54.5,-37.0,180.0,top
C14,100nF,C_0402_1005Metric,81.5,-52.5,0.0,top
C15,15pF,C_0402_1005Metric,68.52,-62.5,180.0,top
C16,15pF,C_0402_1005Metric,72.0,-60.0,90.0,top
C2,100nF,C_0402_1005Metric,78.0,-51.0,180.0,top
C3,100nF,C_0402_1005Metric,72.5,-57.02,90.0,top
C4,100nF,C_0402_1005Metric,65.5,-50.5,0.0,top
C5,100nF,C_0402_1005Metric,66.5,-45.5,-90.0,top
C6,100nF,C_0402_1005Metric,72.5,-44.0,-90.0,top
C7,100nF,C_0402_1005Metric,76.5,-44.52,-90.0,top
C8,1uF,C_0402_1005Metric,76.0,-42.52,90.0,top
C9,100nF,C_0402_1005Metric,73.5,-57.02,-90.0,top
J1,ANT,BWU.FL-IPEX1,60.525,-63.3125,-90.0,top
J2,DEBUG,PinSocket_1x04_P2.54mm_Vertical,79.73,-64.0,90.0,top
J3,GPIO,PinSocket_1x12_P2.54mm_Vertical,70.03,-28.5,-90.0,top
J4,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,44.8,-36.9,-90.0,top
R1,27.4,R_0402_1005Metric,73.99,-41.49,-90.0,top
R2,27.4,R_0402_1005Metric,73.0,-41.49,-90.0,top
R5,10k,R_0402_1005Metric,85.0,-48.5,180.0,top
R6,1k,R_0402_1005Metric,84.99,-47.0,0.0,top
R7,1k,R_0402_1005Metric,71.49,-62.5,0.0,top
R8,10k,R_0402_1005Metric,66.49,-53.0,0.0,top
SW1,BOOTSEL,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,91.0,-52.0,90.0,top
SW2,RUN,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,83.5,-59.0,180.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,72.0,-50.0,0.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,72.9,-36.095,0.0,top
U3,NCP1117DT33G,NCP1117DT50G,60.376,-36.5,180.0,top
U4,RFM95W-915S2,HOPERF_RFM9XW_SMD,53.0,-51.5,0.0,top
U5,BLE5201,BLE5201,89.05,-37.814,-90.0,top
Y1,ABM8G-12.000MHZ-18-D2Y-T,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,68.9,-59.85,0.0,top
