Comment,Designator,Footprint,LCSC
Keyswitch,S47,Hotswap_Choc_V1,
Diode,D29,ComboDiode,
Diode,D8,ComboDiode,
Diode,D37,ComboDiode,
Diode,D45,ComboDiode,
Conn_01x02_Socket,J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
Keyswitch,S31,Hotswap_Choc_V1,
Keyswitch,S43,Hotswap_Choc_V1,
Keyswitch,S1,Hotswap_Choc_V1,
Keyswitch,S34,Hotswap_Choc_V1,
Diode,D1,ComboDiode,
Keyswitch,S30,Hotswap_Choc_V1,
Keyswitch,S42,Hotswap_Choc_V1,
Diode,D30,ComboDiode,
OLED_128x32,J4,OLED_128x32,
Keyswitch,S38,Hotswap_Choc_V1,
Keyswitch,S39,Hotswap_Choc_V1,
Diode,D41,ComboDiode,
Keyswitch,S46,Hotswap_Choc_V1,
Keyswitch,S28,Hotswap_Choc_V1,
Keyswitch,S33,Hotswap_Choc_V1,
Diode,D31,ComboDiode,
Keyswitch,S22,Hotswap_Choc_V1,
Keyswitch,S10,Hotswap_Choc_V1,
Keyswitch,S23,Hotswap_Choc_V1,
Keyswitch,S35,Hotswap_Choc_V1,
Keyswitch,S15,Hotswap_Choc_V1,
Diode,D54,ComboDiode,
Diode,D17,ComboDiode,
Conn_01x02_Socket,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
Keyswitch,S2,Hotswap_Choc_V1,
Nice_Nano_V2,U2,Nice_Nano_V2,
Diode,D4,ComboDiode,
Keyswitch,S37,Hotswap_Choc_V1,
Keyswitch,S29,Hotswap_Choc_V1,
Diode,D25,ComboDiode,
SW_SPDT,SW4,SPDT_C128955,
Diode,D19,ComboDiode,
Keyswitch,S44,Hotswap_Choc_V1,
SW_Push,SW3,SW_TACT_ALPS_SKQGABE010,
Diode,D46,ComboDiode,
Diode,D51,ComboDiode,
Keyswitch,S24,Hotswap_Choc_V1,
Diode,D9,ComboDiode,
Keyswitch,S49,Hotswap_Choc_V1,
Keyswitch,S25,Hotswap_Choc_V1,
Diode,D18,ComboDiode,
Diode,D36,ComboDiode,
Keyswitch,S48,Hotswap_Choc_V1,
Diode,D50,ComboDiode,
Keyswitch,S8,Hotswap_Choc_V1,
Diode,D52,ComboDiode,
Diode,D39,ComboDiode,
Diode,D33,ComboDiode,
Keyswitch,S53,Hotswap_Choc_V1,
Diode,D53,ComboDiode,
Keyswitch,S51,Hotswap_Choc_V1,
Keyswitch,S55,Hotswap_Choc_V1,
Diode,D24,ComboDiode,
Keyswitch,S11,Hotswap_Choc_V1,
Diode,D48,ComboDiode,
Diode,D34,ComboDiode,
Diode,D43,ComboDiode,
OLED_128x32,J1,OLED_128x32,
Keyswitch,S16,Hotswap_Choc_V1,
,_6,MountingHole_2.2mm_M2_Pad_Via,
Diode,D47,ComboDiode,
Diode,D44,ComboDiode,
Diode,D27,ComboDiode,
Diode,D42,ComboDiode,
Diode,D7,ComboDiode,
,_1,MountingHole_2.2mm_M2_Pad_Via,
Keyswitch,S21,Hotswap_Choc_V1,
Diode,D2,ComboDiode,
Diode,D16,ComboDiode,
,_3,MountingHole_2.2mm_M2_Pad_Via,
Keyswitch,S5,Hotswap_Choc_V1,
Diode,D14,ComboDiode,
SW_SPDT,SW2,SPDT_C128955,
Diode,D15,ComboDiode,
Keyswitch,S4,Hotswap_Choc_V1,
Keyswitch,S50,Hotswap_Choc_V1,
Keyswitch,S6,Hotswap_Choc_V1,
Keyswitch,S20,Hotswap_Choc_V1,
Keyswitch,S32,Hotswap_Choc_V1,
Keyswitch,S26,Hotswap_Choc_V1,
Diode,D38,ComboDiode,
Diode,D28,ComboDiode,
Keyswitch,S41,Hotswap_Choc_V1,
Diode,D32,ComboDiode,
,_5,MountingHole_2.2mm_M2_Pad_Via,
Diode,D10,ComboDiode,
Diode,D11,ComboDiode,
Keyswitch,S17,Hotswap_Choc_V1,
Keyswitch,S9,Hotswap_Choc_V1,
Diode,D13,ComboDiode,
Diode,D21,ComboDiode,
Nice_Nano_V2,U1,Nice_Nano_V2,
Diode,D20,ComboDiode,
Keyswitch,S12,Hotswap_Choc_V1,
Diode,D22,ComboDiode,
Diode,D6,ComboDiode,
Keyswitch,S45,Hotswap_Choc_V1,
Diode,D26,ComboDiode,
SW_Push,SW1,SW_TACT_ALPS_SKQGABE010,
Diode,D35,ComboDiode,
Keyswitch,S56,Hotswap_Choc_V1,
,_4,MountingHole_2.2mm_M2_Pad_Via,
Diode,D3,ComboDiode,
Diode,D40,ComboDiode,
Keyswitch,S13,Hotswap_Choc_V1,
Keyswitch,S3,Hotswap_Choc_V1,
Diode,D12,ComboDiode,
Keyswitch,S18,Hotswap_Choc_V1,
Keyswitch,S36,Hotswap_Choc_V1,
Keyswitch,S52,Hotswap_Choc_V1,
Keyswitch,S7,Hotswap_Choc_V1,
Keyswitch,S14,Hotswap_Choc_V1,
Diode,D23,ComboDiode,
Diode,D5,ComboDiode,
Keyswitch,S54,Hotswap_Choc_V1,
Diode,D49,ComboDiode,
Diode,D56,ComboDiode,
Keyswitch,S19,Hotswap_Choc_V1,
Keyswitch,S27,Hotswap_Choc_V1,
Keyswitch,S40,Hotswap_Choc_V1,
Diode,D55,ComboDiode,
,_2,MountingHole_2.2mm_M2_Pad_Via,
