Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
_1,,MountingHole_2.2mm_M2_Pad_Via,235.781647,-151.16831,0.0,top
_1,,MountingHole_2.2mm_M2_Pad_Via,193.62205,-151.198862,0.0,bottom
_2,,MountingHole_2.2mm_M2_Pad_Via,235.781647,-117.14331,0.0,top
_2,,MountingHole_2.2mm_M2_Pad_Via,193.628105,-117.186896,0.0,bottom
_3,,MountingHole_2.2mm_M2_Pad_Via,289.581647,-126.16831,0.0,top
_3,,MountingHole_2.2mm_M2_Pad_Via,139.828105,-126.211896,0.0,bottom
_4,,MountingHole_2.2mm_M2_Pad_Via,288.32647,-166.276344,0.0,top
_4,,MountingHole_2.2mm_M2_Pad_Via,141.083282,-166.31993,0.0,bottom
_5,,MountingHole_2.2mm_M2_Pad_Via,329.039921,-109.976584,0.0,top
_5,,MountingHole_2.2mm_M2_Pad_Via,100.369831,-110.02017,0.0,bottom
_6,,MountingHole_2.2mm_M2_Pad_Via,340.131647,-159.96831,0.0,top
_6,,MountingHole_2.2mm_M2_Pad_Via,89.27205,-159.998862,0.0,bottom
D1,Diode,ComboDiode,226.788397,-113.64331,0.0,top
D2,Diode,ComboDiode,226.788397,-130.64331,0.0,top
D3,Diode,ComboDiode,226.788397,-147.64331,0.0,top
D4,Diode,ComboDiode,226.788397,-164.64331,0.0,top
D5,Diode,ComboDiode,244.788397,-113.64331,0.0,top
D6,Diode,ComboDiode,244.788397,-130.64331,0.0,top
D7,Diode,ComboDiode,244.788397,-147.64331,0.0,top
D8,Diode,ComboDiode,244.788397,-164.64331,0.0,top
D9,Diode,ComboDiode,262.788397,-107.64331,0.0,top
D10,Diode,ComboDiode,262.788397,-124.64331,0.0,top
D11,Diode,ComboDiode,262.788397,-141.64331,0.0,top
D12,Diode,ComboDiode,262.788397,-158.64331,0.0,top
D13,Diode,ComboDiode,287.483742,-183.206736,0.0,top
D14,Diode,ComboDiode,280.788397,-105.64331,0.0,top
D15,Diode,ComboDiode,280.788397,-122.64331,0.0,top
D16,Diode,ComboDiode,280.788397,-139.64331,0.0,top
D17,Diode,ComboDiode,280.788397,-156.64331,0.0,top
D18,Diode,ComboDiode,307.66951,-184.352606,-7.0,top
D19,Diode,ComboDiode,298.788397,-109.64331,0.0,top
D20,Diode,ComboDiode,298.788397,-126.64331,0.0,top
D21,Diode,ComboDiode,298.788397,-143.64331,0.0,top
D22,Diode,ComboDiode,298.788397,-160.64331,0.0,top
D23,Diode,ComboDiode,327.695326,-188.533808,-15.0,top
D24,Diode,ComboDiode,316.788397,-113.64331,0.0,top
D25,Diode,ComboDiode,316.788397,-130.64331,0.0,top
D26,Diode,ComboDiode,316.788397,-147.64331,0.0,top
D27,Diode,ComboDiode,316.788397,-164.64331,0.0,top
D28,Diode,ComboDiode,355.895739,-191.450661,60.0,top
D29,Diode,ComboDiode,202.684855,-113.686896,0.0,top
D30,Diode,ComboDiode,202.684855,-130.686896,0.0,top
D31,Diode,ComboDiode,202.684855,-147.686896,0.0,top
D32,Diode,ComboDiode,202.684855,-164.686896,0.0,top
D33,Diode,ComboDiode,184.684855,-113.686896,0.0,top
D34,Diode,ComboDiode,184.684855,-130.686896,0.0,top
D35,Diode,ComboDiode,184.684855,-147.686896,0.0,top
D36,Diode,ComboDiode,184.684855,-164.686896,0.0,top
D37,Diode,ComboDiode,166.684855,-107.686896,0.0,top
D38,Diode,ComboDiode,166.684855,-124.686896,0.0,top
D39,Diode,ComboDiode,166.684855,-141.686896,0.0,top
D40,Diode,ComboDiode,166.684855,-158.686896,0.0,top
D41,Diode,ComboDiode,141.98951,-183.250322,0.0,top
D42,Diode,ComboDiode,148.684855,-105.686896,0.0,top
D43,Diode,ComboDiode,148.684855,-122.686896,0.0,top
D44,Diode,ComboDiode,148.6788,-139.673862,0.0,top
D45,Diode,ComboDiode,148.684855,-156.686896,0.0,top
D46,Diode,ComboDiode,121.702026,-184.434407,7.0,top
D47,Diode,ComboDiode,130.684855,-109.686896,0.0,top
D48,Diode,ComboDiode,130.684855,-126.686896,0.0,top
D49,Diode,ComboDiode,130.684855,-143.686896,0.0,top
D50,Diode,ComboDiode,130.684855,-160.686896,0.0,top
D51,Diode,ComboDiode,101.578128,-188.713692,15.0,top
D52,Diode,ComboDiode,112.684855,-113.686896,0.0,top
D53,Diode,ComboDiode,112.684855,-130.686896,0.0,top
D54,Diode,ComboDiode,112.684855,-147.686896,0.0,top
D55,Diode,ComboDiode,112.684855,-164.686896,0.0,top
D56,Diode,ComboDiode,73.252115,-191.23235,-60.0,top
J2,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,351.706647,-138.04331,0.0,top
J3,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,77.709532,-138.081213,0.0,top
S1,Keyswitch,Hotswap_Choc_V1,226.756647,-108.64331,0.0,top
S2,Keyswitch,Hotswap_Choc_V1,226.756647,-125.64331,0.0,top
S3,Keyswitch,Hotswap_Choc_V1,226.756647,-142.64331,0.0,top
S4,Keyswitch,Hotswap_Choc_V1,226.756647,-159.64331,0.0,top
S5,Keyswitch,Hotswap_Choc_V1,244.756647,-108.64331,0.0,top
S6,Keyswitch,Hotswap_Choc_V1,244.756647,-125.64331,0.0,top
S7,Keyswitch,Hotswap_Choc_V1,244.756647,-142.64331,0.0,top
S8,Keyswitch,Hotswap_Choc_V1,244.756647,-159.64331,0.0,top
S9,Keyswitch,Hotswap_Choc_V1,262.756647,-102.64331,0.0,top
S10,Keyswitch,Hotswap_Choc_V1,262.756647,-119.64331,0.0,top
S11,Keyswitch,Hotswap_Choc_V1,262.756647,-136.64331,0.0,top
