Comment,Designator,Footprint,LCSC,Quantity
0.1 µF,"C3,C4",C_0402_1005Metric,C1525,2
10K,"R2,R4,R5,R6,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,6
4K7,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,1
5K1,"R1,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C23186,2
TLV1117LV33DCYT,U2,SOT-223-3_TabPin2,C2877977,1
ResetBtn,"SW1,SW2",SW_SPST_TL3342,C318884,2
YTC-TC16-473,J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C5329561,1
22uF,"C1,C2",C_0402_1005Metric,C5672,2
BC817W,Q1,SOT-323_SC-70,C75566,1
RJ12,J1,RJ12_DS1133-S60BPX,C77859,1
ESP-07,U4,ESP-07,C82894,1
FT232RL,U3,SSOP-28_5.3x10.2mm_P0.65mm,C8690,1
