Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,150.5,-91.0,180.0,top
C2,10uF Polarized,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,150.5,-103.0,180.0,top
J1,RJ12,RJ12_DS1133-S60BPX,133.538071,-97.65,0.0,top
J2,ProgammingPins,PinHeader_1x06_P2.54mm_Vertical_NoSilkscreen,160.77,-122.0,180.0,top
Q1,BC817W,SOT-323_SC-70,148.8,-97.15,0.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.0,-107.5,180.0,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.0,-107.5,180.0,top
R3,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.9,-97.1,-90.0,top
R4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.0,-86.5,0.0,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.0,-86.5,0.0,top
R6,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.0,-107.5,180.0,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.7,-97.1,-90.0,top
SW1,ResetBtn,SW_SPST_TL3342,160.15,-78.6,180.0,top
SW2,FlashBtn,SW_SPST_TL3342,151.55,-78.6,180.0,top
U1,ESP-07,ESP-07,163.9,-97.1,180.0,top
U2,LD1117S33CTR_SOT223,SOT-223-3_TabPin2,141.7,-78.6,270.0,top
