Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT_CR2032-BS-6-1,2,CR2032-BS-6-1,
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0603,10,100nF,
C11,0603,1,10uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,WS2812B,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0603,10,220Ω,
R11,0603,1,10kΩ,
SW2,modified_to_K3-1260D-L1_from_SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,K3-1260D-L1,
SW4,SW_TS02-66-43-BK-260-LCR-D,1,DTS-61K-V,
U1,MCU_Seeed_ESP32C3,1,Seeed Studio XIAO ESP32-C3,
U2,SOT-23-5,1,TPS76350,
