Designator,Mid X,Mid Y,Rotation,Layer
BT1,184.0,-101.0,180.0,bottom
BT2,184.0,-120.0,0.0,bottom
C1,144.5625,-123.76,180.0,top
C10,161.86,-131.6875,270.0,top
C11,140.48,-117.68,270.0,top
C2,144.5625,-106.73,180.0,top
C3,153.77,-89.6125,90.0,top
C4,169.32,-89.6325,90.0,top
C5,185.24,-89.6125,90.0,top
C6,202.0375,-98.24,0.0,top
C7,202.0475,-115.23,0.0,top
C8,193.87,-131.6975,270.0,top
C9,178.01,-131.6975,270.0,top
D1,145.27,-119.45,270.0,top
D10,157.55,-131.0,0.0,top
D2,145.27,-102.45,270.0,top
D3,158.08,-90.31,180.0,top
D4,173.63,-90.31,180.0,top
D5,189.55,-90.31,180.0,top
D6,201.35,-102.55,90.0,top
D7,201.35,-119.55,90.0,top
D8,189.55,-131.0,0.0,top
D9,173.7,-131.0,0.0,top
R1,146.135,-115.14,0.0,top
R10,153.24,-130.135,90.0,top
R11,137.32,-121.11,0.0,top
R2,146.145,-98.14,0.0,top
R3,162.39,-91.185,270.0,top
R4,177.95,-91.195,270.0,top
R5,193.86,-91.175,270.0,top
R6,200.485,-106.87,180.0,top
R7,200.465,-123.85,180.0,top
R8,185.24,-130.145,90.0,top
R9,169.39,-130.135,90.0,top
SW2,137.371847,-127.071847,320.194,top
SW4,201.250001,-130.500001,90.0,top
U1,155.23,-124.27,180.0,bottom
U2,137.39,-118.1525,270.0,top
