Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,1u 50V,
"C10, C8, C9",0805,3,1u 50V,
"D1, D4, D7",SK6812-MINI-E,3,sk6812-mini-e,
"D2, D5, D8",D_SOD-323_HandSoldering,3,1N4148WS,
"D22, D23, D24",0603,3,Red,
"D3, D6, D9",0603,3,R,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Out,
J2,PinHeader_1x05_P2.54mm_Vertical,1,In,
"R1, R3, R5",0603,3,100k,
"R15, R18, R21",0805,3,100k,
"R16, R20, R23",0603,3,300,
"R17, R19, R22",0805,3,R,
"R2, R4, R6",0603,3,310R,
"TP1, TP10, TP17, TP18, TP19, TP2, TP20, TP25, TP26, TP27, TP3, TP34, TP35, TP8, TP9",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,15,TestPoint_2Pole,
"U1, U10, U2, U3, U8, U9",SOT-23-5_HandSoldering,6,74LVC1G125,
