Designator,Mid X,Mid Y,Rotation,Layer
C1,-77.2,-159.7,270.0,top
C10,-30.2,-168.1375,270.0,top
C2,-52.2,-159.7,270.0,top
C3,-27.2,-159.7,270.0,top
C8,-80.2,-168.1375,270.0,top
C9,-55.2,-168.1375,270.0,top
D1,-84.1,-156.645,180.0,top
D2,-78.1,-155.1,90.0,top
D22,-47.4,-167.6375,90.0,top
D23,-22.4,-167.6375,90.0,top
D24,-72.4,-167.6375,90.0,top
D3,-71.2,-159.6,90.0,top
D4,-59.1,-156.645,180.0,top
D5,-53.1,-155.1,90.0,top
D6,-46.2,-159.6,90.0,top
D7,-34.1,-156.645,180.0,top
D8,-28.1,-155.1,90.0,top
D9,-21.2,-159.6,90.0,top
J1,-15.6,-164.235,0.0,top
J2,-88.2,-164.805,180.0,top
R1,-79.2,-159.7,90.0,top
R15,-81.7,-164.7375,180.0,top
R16,-73.2,-170.1375,180.0,top
R18,-56.7,-164.7375,180.0,top
R2,-72.8,-159.6375,90.0,top
R20,-48.2,-170.1375,180.0,top
R21,-31.7,-164.7375,180.0,top
R23,-23.2,-170.1375,180.0,top
R3,-54.2,-159.7,90.0,top
R4,-47.8,-159.6375,90.0,top
R5,-29.2,-159.7,90.0,top
R6,-22.8,-159.6375,90.0,top
U1,-73.6,-156.3,180.0,top
U10,-25.8,-166.6375,180.0,top
U2,-48.6,-156.3,180.0,top
U3,-23.6,-156.3,180.0,top
U8,-75.8,-166.6375,180.0,top
U9,-50.8,-166.6375,180.0,top
