Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,-128.699879,-81.505,-90,bottom
BT2,Battery_Cell,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,-128.700121,-126.595,90,bottom
BT3,Battery_Cell,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,-128.7,-130.8,-90,bottom
BT4,Battery_Cell,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,-128.700121,-77.095,90,bottom
C4,10uF,CAP_FA23_TDK,127.7,-182.3,180,top
D1,LED,LED_D3.0mm_Clear,117.47,-188.3,180,top
J1,Conn_01x07,PinSocket_1x07_P2.54mm_Vertical,141.218,-158.272379,0,top
J2,Conn_01x07,PinSocket_1x07_P2.54mm_Vertical,116.2,-173.46,180,top
LED1,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,116.1,-145.3,90,top
LED2,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,116.1,-112.8,90,top
LED3,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,116.1,-80.3,90,top
LED4,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,116.1,-47.3,90,top
LED5,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,141.6,-47.3,-90,top
LED6,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,141.6,-80.3,-90,top
LED7,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,141.6,-112.8,-90,top
LED8,WS2813C-V3,LED-SMD_6P-L5.4-W5.0-BR_WS2813C-V3,141.6,-145.3,-90,top
R1,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.7,-181.3,90,top
R2,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.2,-187.3,180,top
SW1,SW_DIP_x01,SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm,133.275,-188.3,0,top
U3,MCP73831-2-OT,SOT-23-5,133.2,-181.3,-90,top
U4,MOUDLE-SEEEDUINO-XIAO-ESP32C3,MOUDLE14P-SMD-2.54-21X17.8MM,137.6355,-155.313129,180,top
TP1,TestPoint,TestPoint_THTPad_D1.0mm_Drill0.5mm,116.2,179.8,0,top
