Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,2Ah,
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,0.01uF,
"C10, C18, C33, C34, C35, C36",0603,6,10uF,
"C11, C12, C13, C14, C15, C16, C19, C20, C21, C22, C23, C24",0805,12,47uF,
"C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58",0603,16,0.1uF,
C9,0603,1,1uF,
D1,Nexperia_CFP3_SOD-123W,1,D,
"D2, D3, D4, D5",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
J1,AMPHENOL_10155435-00011LF,1,10155435-00011LF,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"KEY1, KEY2, KEY3, KEY4, KEY5, KEY6, KEY7, KEY8",KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH,8,B3F-4055,C84931
"L1, L2",1008,2,1uH,
"LED1, LED2, LED3",LED0805-R-RD,3,FC-2012HRK-620D,C84256
OLED1,OLED-TH_L35.4-W33.5_HS13L03W2C01,1,HS13L03W2C01,C7465997
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R34, R4, R5, R6, R7, R8, R9",0603,17,10k,
"R18, R19",0603,2,5.11k,
R20,0402,1,1k,
"R21, R22, R23",0402,3,470,
R24,0603,1,511k,
"R25, R28",0603,2,91k,
R27,0603,1,806k,
"R29, R30, R31, R32, R33",0603,5,1k,
R35,0603,1,3.9K,
R36,0402,1,1.54k,
R37,0402,1,69.8k,
"SW1, SW2, SW3, SW4",SW-TH_5P-L12.5-W13.4-P2.50-LS14.5-EH13.2,4,PEC11R-4220F-S0024,C143797
"SW5, SW6",KEY-SMD_4P-L4.2-W3.25-P2.15-TL,2,PTS815SJM250SMTRLFS,C2689510
TH1,0805,1,10k,
U1,WIFI-SMD_ESP32-MINI-1-N4,1,ESP32-S2-MINI-2-N4R2,C3013908
U2,DFN-10-1EP_3x3mm_P0.5mm_EP1.58x2.35mm,1,MCP73833-xxx-MF,
"U3, U4",WLCSP-8_L1.8-W1.0-R4-C2-P0.40-BR,2,TPS631010YBGR,C6719123
