Designator,Mid X,Mid Y,Rotation,Layer
BT1,64.15,-54.6,270.0,top
C1,69.3,-121.375,270.0,top
C10,68.2,-44.675,270.0,top
C11,135.4,-66.35,270.0,top
C12,125.3,-66.35,270.0,top
C13,133.3,-66.35,270.0,top
C14,132.05,-63.6,180.0,top
C15,127.3,-66.35,270.0,top
C16,128.55,-63.6,0.0,top
C18,67.9,-64.285,270.0,top
C19,125.3,-52.55,270.0,top
C2,65.7,-121.375,270.0,top
C20,127.3,-52.55,270.0,top
C21,128.55,-49.8,0.0,top
C22,132.05,-49.8,180.0,top
C23,135.4,-52.55,270.0,top
C24,133.3,-52.55,270.0,top
C3,89.2,-121.525,270.0,top
C33,122.5,-112.5,90.0,top
C34,102.4,-112.5,90.0,top
C35,62.4,-112.55,90.0,top
C36,82.3,-112.55,90.0,top
C4,85.6,-121.525,270.0,top
C43,108.2,-43.65,90.0,top
C44,135.375,-49.9,0.0,top
C45,135.375,-63.7,0.0,top
C46,85.42,-43.495,270.0,top
C47,136.65,-98.925,270.0,top
C48,136.7,-77.8,270.0,top
C49,76.52,-77.8,270.0,top
C5,109.3,-121.375,270.0,top
C50,76.5,-98.925,270.0,top
C51,76.2,-151.8,270.0,top
C52,96.2,-151.875,270.0,top
C53,116.2,-151.8,270.0,top
C54,136.2,-151.8,270.0,top
C55,67.225,-141.8,180.0,top
C56,87.275,-142.0,180.0,top
C57,107.2,-141.8,180.0,top
C58,127.225,-141.8,180.0,top
C6,105.7,-121.375,270.0,top
C7,129.3,-121.375,270.0,top
C8,125.7,-121.375,270.0,top
C9,66.4,-64.285,270.0,top
D1,64.8,-43.6,180.0,top
D2,67.5,-112.55,90.0,top
D3,87.5,-112.55,90.0,top
D4,107.5,-112.5,90.0,top
D5,127.5,-112.5,90.0,top
J1,56.54,-47.45,270.0,top
J2,128.4,-41.8,270.0,top
KEY1,67.5,-152.0,0.0,top
KEY2,87.5,-152.0,0.0,top
KEY3,107.5,-152.0,0.0,top
KEY4,127.5,-152.0,0.0,top
KEY5,67.4,-78.3,0.0,top
KEY6,67.4,-99.4,0.0,top
KEY7,127.6,-78.3,0.0,top
KEY8,127.55,-99.4,0.0,top
L1,130.3,-67.3,0.0,top
L2,130.3,-53.5,0.0,top
LED1,57.55,-60.3,0.0,top
LED2,57.55,-63.61,0.0,top
LED3,57.55,-66.92,0.0,top
OLED1,97.5,-88.85,0.0,top
R1,70.9,-121.375,270.0,top
R10,109.05,-119.1,180.0,top
R11,105.975,-119.1,0.0,top
R12,104.1,-121.375,90.0,top
R13,130.9,-121.375,270.0,top
R14,128.935,-119.1,180.0,top
R15,125.845,-119.1,0.0,top
R16,124.1,-121.375,90.0,top
R18,63.675,-46.0,180.0,top
R19,63.675,-49.0,0.0,top
R2,69.065,-119.1,180.0,top
R20,62.8,-60.41,270.0,top
R21,60.2,-60.29,90.0,top
R22,60.2,-63.59,90.0,top
R23,60.2,-67.0,90.0,top
R24,132.825,-61.8,180.0,top
R25,131.175,-60.3,180.0,top
R27,132.825,-48.0,180.0,top
R28,131.175,-46.5,180.0,top
R29,109.0,-46.3,180.0,top
R3,65.975,-119.1,0.0,top
R30,84.775,-41.05,180.0,top
R31,106.3,-41.525,90.0,top
R32,106.3,-44.625,90.0,top
R33,87.875,-46.75,180.0,top
R34,68.2,-50.4,0.0,top
R35,71.3,-50.4,0.0,top
R36,65.2,-64.2,90.0,top
R37,63.7,-68.02,90.0,top
R4,64.1,-121.375,90.0,top
R5,90.8,-121.525,270.0,top
R6,88.975,-119.225,180.0,top
R7,85.825,-119.245,0.0,top
R8,84.0,-121.525,90.0,top
R9,110.9,-121.375,270.0,top
SW1,67.5,-132.0,180.0,top
SW2,87.5,-132.05,180.0,top
SW3,107.5,-132.0,180.0,top
SW4,127.5,-132.0,180.0,top
SW5,111.78,-43.65,180.0,top
SW6,81.7,-43.75,0.0,top
TH1,65.2,-68.01,270.0,top
U1,97.3875,-47.65,0.0,top
U2,65.39,-60.405,180.0,top
U3,130.3,-65.2,270.0,top
U4,130.3,-51.4,270.0,top
