Comment,Designator,Footprint,LCSC
12p,"C10,C15,C16,C9",C_0402_1005Metric,C1549
HRO_TYPE-C-31-M-14,"USB1,USB2",USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Orange,"LED1,LED2,LED3,LED4",LED_0805_2012Metric,C2296
3k9,"R13,R18",R_0603_1608Metric,C23018
4u7,"C1,C13,C2,C3,C5,C6,C7,C8",C_0402_1005Metric,C23733
100R,"R7,R8",R_0402_1005Metric,C25076
10k,"R15,R9",R_0402_1005Metric,C25744
47k,"R11,R16",R_0402_1005Metric,C25792
1k5,"R12,R17,R3,R4",R_0402_1005Metric,C25867
5k1,"R1,R2,R5,R6",R_0402_1005Metric,C25905
BQ24075,"U3,U4",VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,C2865459
USBLC6-2,"U1,U2",SOT-23-6,C3029034
nRF52840_E73-2G4M08S1C,"U5,U9",nRF52840_E73-2G4M08S1C,C356849
EVQ-P7C01P,"RST1,RST2",EVQ-P7C,C388883
750 mA,"F1,F2",Fuse_0603_1608Metric,C394950
1u,"C12,C4",C_0402_1005Metric,C52923
32.768 KHz,"Y1,Y2",Q13FC13500004,C55208
BLM15PX121SN1D,"L1,L2",L_0402_1005Metric,C88970
10 uH,"L3,L4",L_0603_1608Metric,C92982
