Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0402_1005Metric,154.25,-77.75,180.0,top
C10,12p,C_0402_1005Metric,165.06877,-56.5,0.0,top
C12,1u,C_0402_1005Metric,118.75,-56.75,180.0,top
C13,4u7,C_0402_1005Metric,126.5,-82.25,-90.0,top
C15,18p,C_0402_1005Metric,119.0,-49.5,90.0,top
C16,18p,C_0402_1005Metric,118.75,-55.5,180.0,top
C2,4u7,C_0402_1005Metric,161.7,-78.5,0.0,top
C3,4u7,C_0402_1005Metric,158.95,-82.25,0.0,top
C4,1u,C_0402_1005Metric,165.0,-55.25,0.0,top
C5,4u7,C_0402_1005Metric,123.77,-63.25,180.0,top
C6,4u7,C_0402_1005Metric,124.0,-78.25,180.0,top
C7,4u7,C_0402_1005Metric,132.5,-78.25,0.0,top
C8,4u7,C_0402_1005Metric,159.75,-48.0,0.0,top
C9,12p,C_0402_1005Metric,165.06877,-62.243566,0.0,top
F1,750 mA,Fuse_0603_1608Metric,127.0,-36.75,-90.0,top
F2,750 mA,Fuse_0603_1608Metric,150.5,-37.25,-90.0,top
L1,BLM15PX121SN1D,L_0402_1005Metric,125.5,-36.735,-90.0,top
L2,BLM15PX121SN1D,L_0402_1005Metric,148.75,-37.25,-90.0,top
L3,10 uH,L_0603_1608Metric,118.25,-59.5,90.0,top
L4,10 uH,L_0603_1608Metric,165.56877,-52.243566,-90.0,top
LED1,Orange,LED_0805_2012Metric,133.5,-73.0,90.0,top
LED2,Orange,LED_0805_2012Metric,150.0,-73.25,-90.0,top
LED3,Yellow,LED_0805_2012Metric,136.95,-35.25,90.0,top
LED4,Yellow,LED_0805_2012Metric,146.75,-35.25,-90.0,top
R1,5k1,R_0402_1005Metric,133.0,-34.25,0.0,top
R11,47k,R_0402_1005Metric,128.25,-82.25,-90.0,top
R12,1k5,R_0402_1005Metric,124.0,-79.75,180.0,top
R13,3k9,R_0603_1608Metric,131.0,-82.0,0.0,top
R15,10k,R_0402_1005Metric,155.0,-82.5,180.0,top
R16,47k,R_0402_1005Metric,154.25,-79.3,180.0,top
R17,1k5,R_0402_1005Metric,154.25,-76.25,180.0,top
R18,3k9,R_0603_1608Metric,153.7,-80.8,180.0,top
R2,5k1,R_0402_1005Metric,127.0,-34.5,180.0,top
R3,1k5,R_0402_1005Metric,124.0,-76.5,0.0,top
R4,1k5,R_0402_1005Metric,154.25,-74.3,0.0,top
R5,5k1,R_0402_1005Metric,156.0,-34.5,180.0,top
R6,5k1,R_0402_1005Metric,150.5,-34.5,0.0,top
R7,100R,R_0402_1005Metric,137.0,-38.25,0.0,top
R8,100R,R_0402_1005Metric,146.75,-38.25,0.0,top
R9,10k,R_0402_1005Metric,132.5,-79.75,0.0,top
RST1,EVQ-P7C01P,EVQ-P7C,137.25,-73.0,90.0,top
RST2,EVQ-P7C01P,EVQ-P7C,146.45,-73.0,-90.0,top
U1,USBLC6-2,SOT-23-6,130.0,-37.25,90.0,top
U2,USBLC6-2,SOT-23-6,153.5,-37.25,90.0,top
U3,BQ24075,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,128.35,-78.1,180.0,top
U4,BQ24075,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,158.35,-78.6,90.0,top
U5,nRF52840_E73-2G4M08S1C,nRF52840_E73-2G4M08S1C,155.94877,-55.993566,90.0,top
U9,nRF52840_E73-2G4M08S1C,nRF52840_E73-2G4M08S1C,127.765,-55.5,-90.0,top
USB1,HRO_TYPE-C-31-M-14,USB_C_Receptacle_HRO_TYPE-C-31-M-12,130.15,-29.6,180.0,top
USB2,HRO_TYPE-C-31-M-14,USB_C_Receptacle_HRO_TYPE-C-31-M-12,153.55,-29.65,180.0,top
Y1,32.768 KHz,Q13FC13500004,118.75,-52.75,90.0,top
Y2,32.768 KHz,Q13FC13500004,165.06877,-59.493566,-90.0,top
