Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,140.0725,-84.8225,135.0,top
C2,10uF,C_0402_1005Metric,138.14625,-76.6925,90.0,top
C3,1uF,C_0201_0603Metric,145.9433,-87.0625,90.0,top
C4,100nF,C_0201_0603Metric,146.8217,-87.0625,-90.0,top
C5,100nF,C_0201_0603Metric,144.2825,-87.0575,-90.0,top
C6,100nF,C_0201_0603Metric,145.1461,-87.0575,-90.0,top
C7,100nF,C_0201_0603Metric,147.305,-93.12,180.0,top
C8,100nF,C_0201_0603Metric,137.49,-93.71,45.0,top
C9,100nF,C_0201_0603Metric,137.529999,-89.044901,0.0,top
C10,100nF,C_0201_0603Metric,137.529999,-88.305103,0.0,top
C11,100nF,C_0201_0603Metric,146.58,-99.275,180.0,top
C12,100nF,C_0201_0603Metric,146.585,-98.8,180.0,top
C13,1uF,C_0201_0603Metric,141.54,-87.06,135.0,top
C14,100nF,C_0201_0603Metric,133.05,-77.625,90.0,top
C15,27pF,C_0201_0603Metric,139.625,-98.15,90.0,top
C16,27pF,C_0201_0603Metric,144.84,-99.18,-45.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,144.0333,-78.8991,180.0,top
R1,5.1K,R_0402_1005Metric,145.4333,-84.9491,-90.0,top
R2,5.1K,R_0402_1005Metric,142.1333,-84.9491,-90.0,top
R3,27.4,R_0402_1005Metric,143.2333,-85.2441,90.0,top
R4,27.4,R_0402_1005Metric,144.3333,-85.2441,-90.0,top
R5,1K,R_0402_1005Metric,135.4925,-88.4525,0.0,top
R6,1K,R_0201_0603Metric,142.495,-96.425,180.0,top
R8,10K,R_0402_1005Metric,133.55,-88.45,0.0,top
U1,W25Q128JVS,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,134.175,-82.8325,90.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,135.3325,-83.0075,90.0,top
U3,RP2040,RP2040-QFN-56,142.3825,-92.0575,0.0,top
U5,AP2112K-3.3,SOT-23-5,135.50625,-76.2125,180.0,top
Y1,12M,Crystal_SMD_3225-4Pin_3.2x2.5mm,142.05,-98.25,180.0,top
