Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3",BAT-TH_AAA-BAT-029-K01,3,Battery_Cell,C962133
"C1, C2, C3",CASE-A_3216,3,47uF,C7190
C4,C0603,1,10uF,C19702
C5,C0603,1,10uF,
"D1, D2",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,2,D,C2456
D3,LED0805-R-RD,1,ORANGE,C2296
"J1, J2",HDR-TH_7P-P2.54-V-F,2,Conn_01x07,C2832270
"LED1, LED2, LED3, LED4, LED5, LED6",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,6,XL-1615RGBC-WS2812B,C5349954
R1,R0402,1,33k,C1154
R2,R1206,1,1k,C1469
R3,R0402,1,2.2k, C854250
SW1,SW-TH_SS-12D02-VG4,1,SS-12D02-VG4,C136719
U1,XIAO-ESP32S3-SMD,1,XIAO-ESP32-C3-SMD,C19189385
U2,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,TLV1117-50,C81459
U3,SOT-23-5,1,MCP73831-2-OT,C424093
U4,CUI_CMC-4013-SMT,1,B4013AM422-42,
