Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.495,-122.682,90.0,bottom
BT2,129.54,-108.872,270.0,bottom
BT3,172.085,-108.237,270.0,bottom
C1,151.835,-105.537,90.0,bottom
C2,155.645,-99.822,180.0,bottom
C3,154.94,-92.837,180.0,bottom
C4,150.43,-109.982,180.0,bottom
C5,123.698,-85.344,180.0,top
D1,130.27,-126.492,180.0,bottom
D2,155.67,-96.012,180.0,bottom
D3,151.35,-88.392,180.0,bottom
J1,136.525,-85.2495,270.0,bottom
J2,165.1,-84.5495,90.0,bottom
LED1,136.525,-103.937,0.0,top
LED2,136.525,-113.157,0.0,top
LED3,136.525,-122.352,0.0,top
LED4,165.595,-122.352,0.0,top
LED5,165.735,-113.157,0.0,top
LED6,165.595,-103.937,0.0,top
R1,155.78,-80.137,180.0,bottom
R2,147.11,-83.947,270.0,bottom
R3,130.824,-90.17,0.0,top
SW1,151.13,-69.977,180.0,bottom
U1,151.1575,-84.528,0.0,top
U2,148.27,-100.062,0.0,bottom
U3,151.13,-79.502,0.0,bottom
U4,128.778,-86.614,0.0,top
