Designator,Mid X,Mid Y,Rotation,Layer
D1,128.0,-171.5,225.0,top
D10,161.5,-136.0,270.0,top
D11,126.5,-101.5,270.0,top
D12,146.0,-101.5,90.0,top
D13,176.0,-123.5,225.0,top
D14,165.5,-101.5,270.0,top
D15,185.5,-101.5,270.0,top
D16,176.0,-79.5,315.0,top
D17,120.75,-87.25,315.0,top
D18,134.5,-73.5,135.0,top
D19,162.0,-67.0,270.0,top
D2,106.0,-149.5,180.0,top
D20,146.5,-61.5,315.0,top
D21,158.0,-50.0,315.0,top
D22,141.0,-46.0,0.0,top
D23,106.0,-81.5,0.0,top
D24,106.0,-62.0,180.0,top
D25,127.736952,-31.763052,315.0,top
D26,106.0,-42.5,0.0,top
D27,106.0,-28.5,0.0,top
D28,84.5,-32.0,45.0,top
D29,92.25,-87.25,45.0,top
D3,106.0,-141.0,180.0,top
D30,78.5,-73.5,225.0,top
D31,72.0,-46.0,0.0,top
D32,66.5,-61.5,45.0,top
D33,55.0,-50.0,45.0,top
D34,51.5,-67.0,90.0,top
D35,86.5,-101.5,90.0,top
D36,67.0,-101.5,270.0,top
D37,36.8,-80.2,45.0,top
D38,47.5,-101.5,90.0,top
D39,27.5,-101.5,90.0,top
D4,106.0,-121.5,180.0,top
D40,36.8,-122.8,135.0,top
D41,92.25,-115.75,135.0,top
D42,78.5,-129.5,315.0,top
D43,51.2,-136.0,90.0,top
D44,66.5,-141.5,135.0,top
D45,55.0,-153.0,135.0,top
D46,72.0,-156.8,180.0,top
D47,106.5,-101.5,180.0,top
D48,84.4,-171.0,315.0,top
D5,120.642135,-115.642136,225.0,top
D6,134.5,-129.5,45.0,top
D7,141.0,-156.5,180.0,top
D8,146.5,-141.5,225.0,top
D9,158.0,-153.0,225.0,top
SW1,105.918,-130.048,0.0,top
U1,105.978864,-167.884,180.0,top
