Designator,Mid X,Mid Y,Rotation,Layer
BZ1,223.012,-95.504,90.0,top
D1,193.19,-43.63,0.0,top
D10,201.31,-56.87,0.0,top
D11,201.31,-63.49,0.0,top
D12,201.31,-70.11,0.0,top
D13,201.31,-76.73,0.0,top
D14,201.31,-83.35,0.0,top
D15,209.43,-43.63,0.0,top
D16,209.43,-50.25,0.0,top
D17,209.43,-56.87,0.0,top
D18,209.43,-63.49,0.0,top
D19,209.43,-70.11,0.0,top
D2,193.19,-50.25,0.0,top
D20,209.43,-76.73,0.0,top
D21,209.43,-83.35,0.0,top
D22,217.55,-43.63,0.0,top
D23,217.55,-50.25,0.0,top
D24,217.55,-56.87,0.0,top
D25,217.55,-63.49,0.0,top
D26,217.55,-70.11,0.0,top
D27,217.55,-76.73,0.0,top
D28,217.55,-83.35,0.0,top
D29,187.198,-99.568,0.0,top
D3,193.19,-56.87,0.0,top
D4,193.19,-63.49,0.0,top
D5,193.19,-70.11,0.0,top
D6,193.19,-76.73,0.0,top
D7,193.19,-83.35,0.0,top
D8,201.31,-43.63,0.0,top
D9,201.31,-50.25,0.0,top
J1,184.658,-91.455,180.0,top
J3,223.715,-34.546,90.0,top
M1,205.3825,-99.777,180.0,top
R1,186.436,-103.2745,270.0,top
