Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,29,~,C402213
J2,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,1,HDMI_A,C427307
J3,OLED_128x32,1,OLED_128x32,
SW1,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Esc,
SW10,SW_Gateron_LowProfile_HotSwap_Good,1,Key_W,
SW11,SW_Gateron_LowProfile_HotSwap_Good,1,Key_E,
SW12,SW_Gateron_LowProfile_HotSwap_Good,1,Key_R,
SW13,SW_Gateron_LowProfile_HotSwap_Good,1,Key_T,
SW14,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Caps,
SW15,SW_Gateron_LowProfile_HotSwap_Good,1,Key_A,
SW16,SW_Gateron_LowProfile_HotSwap_Good,1,Key_S,
SW17,SW_Gateron_LowProfile_HotSwap_Good,1,Key_D,
SW18,SW_Gateron_LowProfile_HotSwap_Good,1,Key_F,
SW19,SW_Gateron_LowProfile_HotSwap_Good,1,Key_G,
SW2,SW_Gateron_LowProfile_HotSwap_Good,1,Key_1,
SW20,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Shift,
SW21,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Z,
SW22,SW_Gateron_LowProfile_HotSwap_Good,1,Key_X,
SW23,SW_Gateron_LowProfile_HotSwap_Good,1,Key_C,
SW24,SW_Gateron_LowProfile_HotSwap_Good,1,Key_V,
SW25,SW_Gateron_LowProfile_HotSwap_Good,1,Key_B,
SW26,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Ctrl,
SW27,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Win,
SW28,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Alt,
SW29,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Space,
SW3,SW_Gateron_LowProfile_HotSwap_Good,1,Key_2,
SW4,SW_Gateron_LowProfile_HotSwap_Good,1,Key_3,
SW5,SW_Gateron_LowProfile_HotSwap_Good,1,Key_4,
SW6,SW_Gateron_LowProfile_HotSwap_Good,1,Key_5,
SW7,SW_Gateron_LowProfile_HotSwap_Good,1,Key_6,
SW8,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Tab,
SW9,SW_Gateron_LowProfile_HotSwap_Good,1,Key_Q,
U1,Bonsai_C4_extended,1,Bonsai-C4-extended,
