Designator,Mid X,Mid Y,Rotation,Layer
D1,69.7375,-57.505,90.0,bottom
D10,117.3625,-76.555,90.0,bottom
D11,136.4125,-76.555,90.0,bottom
D12,155.4625,-76.555,90.0,bottom
D13,174.5125,-76.555,90.0,bottom
D14,76.8813,-95.605,90.0,bottom
D15,103.075,-95.605,90.0,bottom
D16,122.125,-95.605,90.0,bottom
D17,141.175,-95.605,90.0,bottom
D18,160.225,-95.605,90.0,bottom
D19,179.275,-95.605,90.0,bottom
D2,88.7875,-57.505,90.0,bottom
D20,81.6438,-114.655,90.0,bottom
D21,112.6,-114.655,90.0,bottom
D22,131.65,-114.655,90.0,bottom
D23,150.7,-114.655,90.0,bottom
D24,169.75,-114.655,90.0,bottom
D25,188.8,-114.655,90.0,bottom
D26,72.1188,-133.705,90.0,bottom
D27,95.9313,-133.705,90.0,bottom
D28,119.7438,-133.705,90.0,bottom
D29,162.6063,-133.705,90.0,bottom
D3,107.8375,-57.505,90.0,bottom
D4,126.8875,-57.505,90.0,bottom
D5,145.9375,-57.505,90.0,bottom
D6,164.9875,-57.505,90.0,bottom
D7,184.0375,-57.505,90.0,bottom
D8,74.5,-76.555,90.0,bottom
D9,98.3125,-76.555,90.0,bottom
J2,159.9075,-28.375,180.0,bottom
SW1,65.5575,-52.1625,0.0,top
SW10,113.1825,-71.2125,0.0,top
SW11,132.2325,-71.2125,0.0,top
SW12,151.2825,-71.2125,0.0,top
SW13,170.3325,-71.2125,0.0,top
SW14,72.7013,-90.2625,0.0,top
SW15,98.895,-90.2625,0.0,top
SW16,117.945,-90.2625,0.0,top
SW17,136.995,-90.2625,0.0,top
SW18,156.045,-90.2625,0.0,top
SW19,175.095,-90.2625,0.0,top
SW2,84.6075,-52.1625,0.0,top
SW20,77.4638,-109.3125,0.0,top
SW21,108.42,-109.3125,0.0,top
SW22,127.47,-109.3125,0.0,top
SW23,146.52,-109.3125,0.0,top
SW24,165.57,-109.3125,0.0,top
SW25,184.62,-109.3125,0.0,top
SW26,67.9388,-128.3625,0.0,top
SW27,91.7513,-128.3625,0.0,top
SW28,115.5638,-128.3625,0.0,top
SW29,158.4263,-128.3625,0.0,top
SW3,103.6575,-52.1625,0.0,top
SW4,122.7075,-52.1625,0.0,top
SW5,141.7575,-52.1625,0.0,top
SW6,160.8075,-52.1625,0.0,top
SW7,179.8575,-52.1625,0.0,top
SW8,70.32,-71.2125,0.0,top
SW9,94.1325,-71.2125,0.0,top
U1,76.101,-34.97,90.0,top
