Designator,Footprint,Quantity,Value,LCSC Part #
"BT3, BT9",BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,2,Battery_Cell,C2979167
"C1, C6",0603,2,10 uF,C19702
"C2, C4, C5, C7",0603,4,100 nF,C14663
C3,0603,1,1 uF,C15849
"D1, D10, D11, D2, D4, D5, D7, D8",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,8,WS2812B,C5349954
D3,D_SMB,1,P6SMB6.8CA,C78395
D6,D_SOD-323,1,1N5819WS,C191023
D9,0805,1,LED,C84256
Q1,SOT-23,1,AO3401A,C15127
"Q2, Q3",SOT-23,2,AO3400A,C20917
R1,0402,1,330,C25104
R10,1206,1,100,C17901
"R11, R2",0402,2,1K,C11702
R3,0603,1,27K,C22967
R4,0603,1,220,C22962
"R5, R6",0603,2,5.1K,C23186
R8,0402,1,100K,C25741
R9,0805,1,10K,C17414
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U1,SOT-23-6,1,TP4057,C12044
U2,STC_SOP-16_3.9x9.9mm_P1.27mm,1,CH552G,C111292
U3,SOT-23-6,1,DW01A,C18164398
USB1,USB-C_UC09-0B16F00P11,1,UC09-0B16F00P11,C36936538
